case,cores,no_l2,fixed_l2,selected_l2,hardware_ratio,combined_ratio,search_ratio,no_l2_added,fixed_l2_added,selected_l2_added,fixed_hit_rate,selected_hit_rate,fixed_hit_bytes,fixed_miss_bytes,selected_hit_bytes,selected_miss_bytes,search_seconds,total_seconds,input_sha256,seed_sha256
10,4,26340,25769,25583,1.0221584073887229,1.0295899620841966,1.0072704530352188,483232,483232,485920,0.2698307835273671,0.2772304809869368,196868,532730,203012,529274,0.8688990827649832,1.447391577064991,fd0b07588473d8b2ce05fab4798808cbc7f60cf1638e05608adc3d62061b8775,df2eb21d86bec26df33099a273ff4cb0301a3046a31ea95996722670d240e667
10,5,22006,21371,21371,1.029713162697113,1.029713162697113,1.0,562432,562432,562432,0.29291606251417474,0.29291606251417474,229894,554952,229894,554952,0.8894020784646273,1.4959740247577429,fd0b07588473d8b2ce05fab4798808cbc7f60cf1638e05608adc3d62061b8775,f4653b8fe7a686af683523800481af7d479572650e604488d021499c723d7873
11,1,184697,184697,184697,1.0,1.0,1.0,0,0,0,0.0,0.0,0,540672,0,540672,0.162748035043478,0.6693985890597105,2da7df4ccc8a4eb86347f0a567aacac628e7d30ab943cd99996f2c74620d80b9,938fe72d4f151dd8a5f60e6b9fc9fd81bc6e81b270b6fed741da49cc97d4c51e
11,2,92646,92646,92646,1.0,1.0,1.0,180224,180224,180224,0.0,0.0,0,720896,0,720896,0.7607568148523569,1.25431845523417,2da7df4ccc8a4eb86347f0a567aacac628e7d30ab943cd99996f2c74620d80b9,2ca28ed0ef9c5837f3620c7f3fdf9417aafb9737464635293dafd71b42389108
11,3,64180,64180,63580,1.0,1.0094369298521548,1.0094369298521548,1660928,1660928,1660928,0.18610747051114024,0.19528178243774574,290816,1271808,305152,1257472,1.0712052006274462,1.9925639778375626,2da7df4ccc8a4eb86347f0a567aacac628e7d30ab943cd99996f2c74620d80b9,f9fe9360b1ad7d1c8d2d88b7283312a5404b17723a948ded2d9fb33b7524b9bc
11,4,46880,46880,46880,1.0,1.0,1.0,540672,540672,540672,0.0,0.0,0,1081344,0,1081344,0.6940474379807711,1.2283445373177528,2da7df4ccc8a4eb86347f0a567aacac628e7d30ab943cd99996f2c74620d80b9,5125f5b7729b8d2d6958927e59d716fdfe3a71d6ade168083062eeb25770ed15
11,5,46194,43952,43594,1.0510101929377502,1.0596412350323439,1.0082121392852228,2033664,2033664,2033664,0.24300111982082867,0.25755879059350506,444416,1384448,471040,1357824,1.0233103092759848,1.9770160466432571,2da7df4ccc8a4eb86347f0a567aacac628e7d30ab943cd99996f2c74620d80b9,1d003f9e592f687e7e8a7813c6d6d103a71091d92595e9de7edc39ad619acace
12,1,59088,59088,59088,1.0,1.0,1.0,0,0,0,0.0,0.0,0,484096,0,484096,0.28423132933676243,1.1026041731238365,1a07d3a4c6d1305bec2fbdc4d106fb5c0078ec098cbf09e1b8eaa5134968e079,b1e544818b255ab54c5868e649c86d35f523cf071e352e0a343d241a43bb9976
12,2,25535,25535,25535,1.0,1.0,1.0,94960,94960,94960,0.0203780667649819,0.0203780667649819,10944,526104,10944,526104,1.3781756814569235,2.209719553589821,1a07d3a4c6d1305bec2fbdc4d106fb5c0078ec098cbf09e1b8eaa5134968e079,c748ed72ae78021cd03793e778ad95702ae9d844338f4f8a00dba9d8490f8e59
12,3,18128,18128,17926,1.0,1.0112685484770725,1.0112685484770725,189892,189892,189892,0.06728949502838776,0.06728949502838776,40320,558882,40320,558882,1.4217176530510187,2.4020114112645388,1a07d3a4c6d1305bec2fbdc4d106fb5c0078ec098cbf09e1b8eaa5134968e079,adce2a2c239d44fdb0ff6dc2cd9735ad7f5650d5b0c6cee44ab35df7821e4923
12,4,14948,14948,13663,1.0,1.094049623069604,1.094049623069604,39168,39168,39168,0.03962818003913894,0.07265166340508807,20736,502528,38016,485248,1.261965785175562,2.085661483928561,1a07d3a4c6d1305bec2fbdc4d106fb5c0078ec098cbf09e1b8eaa5134968e079,9054d2ef7d55bdcd2323fa19bfcdc86cc03bf5a55c845dcd01cf660aba765c8a
12,5,12519,12460,12460,1.0047351524879615,1.0047351524879615,1.0,25344,25344,25344,0.04974874371859297,0.04974874371859297,25344,484096,25344,484096,0.9354965817183256,1.5139814894646406,1a07d3a4c6d1305bec2fbdc4d106fb5c0078ec098cbf09e1b8eaa5134968e079,c5c852dbb00aaa12dbfef8d944845d1e11137fb162865b47b5ad383bf244a94f
13,1,263949,263949,263949,1.0,1.0,1.0,0,0,0,0.0,0.0,0,2023424,0,2023424,0.5354287885129452,2.5800911597907543,b95d97cf90bdd0fe64a0fd1ecd5a36a7b091ecadef204ef8c6ae430f6ccfac3c,98a0668cad932fa3f39cf3e83cffe8c6d06e58eac83dfdc2a7e398400296a4d8
13,2,132198,132198,132198,1.0,1.0,1.0,8192,8192,8192,0.0,0.0,0,2031616,0,2031616,3.0002040304243565,4.705585964024067,b95d97cf90bdd0fe64a0fd1ecd5a36a7b091ecadef204ef8c6ae430f6ccfac3c,58479b2440506c4ba5949c48a35b25c504e23b69a6aa59cb13dea908f9f8be53
13,3,88351,88351,88351,1.0,1.0,1.0,16384,16384,16384,0.0,0.0,0,2039808,0,2039808,2.6637394335120916,4.077691832557321,b95d97cf90bdd0fe64a0fd1ecd5a36a7b091ecadef204ef8c6ae430f6ccfac3c,a60967a79659a18638dc98cc71769ebb39c3ff52d584820123497d61bfec7a44
13,4,66982,66982,66982,1.0,1.0,1.0,24576,24576,24576,0.0,0.0,0,2048000,0,2048000,3.692756639793515,5.970441730692983,b95d97cf90bdd0fe64a0fd1ecd5a36a7b091ecadef204ef8c6ae430f6ccfac3c,59532ba3ad51d226d5f4e9e61b5d45886283121657c851d715ac441fd3e202a7
13,5,54363,54363,54363,1.0,1.0,1.0,32768,32768,32768,0.0,0.0,0,2056192,0,2056192,2.730223512277007,4.630288345739245,b95d97cf90bdd0fe64a0fd1ecd5a36a7b091ecadef204ef8c6ae430f6ccfac3c,63ffcd1ddf022fd537c89bb94e20fbbf5f1a838fbb8b53dfed160e880454089a
14,1,17698626,17689602,17689602,1.0005101301883446,1.0005101301883446,1.0,71010720,71010720,71010720,0.12291025483195864,0.12291025483195864,9944064,70961016,9944064,70961016,19.51685476116836,83.90807142853737,e27abb053ac57786e510ba80e60a6ec60a8b0df11b2a818010a1df17c29d94dd,c623ac4e30dda9460f0d4aae5e350a7afd8481b58e14bd20816733a7f1450e54
14,2,8909568,8904096,8904096,1.0006145486302034,1.0006145486302034,1.0,69998520,69998520,69998520,0.20130766851173867,0.20130766851173867,16086528,63823632,16086528,63823632,91.88095736317337,152.91512839496136,e27abb053ac57786e510ba80e60a6ec60a8b0df11b2a818010a1df17c29d94dd,0f69882767ece5ee86542be95df810dfa5ec43017840ed85016eba4ce019a411
14,3,5951263,5936435,5929070,1.002497795394037,1.0037430828106262,1.0012421846933837,56526504,56526504,57041304,0.24710539776668053,0.23633458149353373,16417224,50020920,15823296,51129648,134.0883057154715,212.18153568916023,e27abb053ac57786e510ba80e60a6ec60a8b0df11b2a818010a1df17c29d94dd,38d63ba17487f19fd600d4392c1cfae60864d0b9417677718b06fb38295337cb
14,4,4526637,4510849,4476730,1.003500006318101,1.01114809246928,1.0076214111639523,59878296,59878296,59878296,0.29812435993636677,0.2962756120022807,20806080,48983856,20677056,49112880,119.6885846182704,199.0529836267233,e27abb053ac57786e510ba80e60a6ec60a8b0df11b2a818010a1df17c29d94dd,a735f2309dc51be8885680075207984be8d457fc7f412c4de06449855e602fb3
14,5,3663108,3647377,3607077,1.0043129624384866,1.0155336301387523,1.0111724812084688,62443416,62443416,62443416,0.28802233253748016,0.3113313878162156,20839872,51515184,22526400,49828656,127.52143116295338,208.56012654677033,e27abb053ac57786e510ba80e60a6ec60a8b0df11b2a818010a1df17c29d94dd,0f646182dd05e3ce731fe9c8e5ecca4119a4acc27a5be4933de3ecf5478209f1
15,1,177362,177362,177362,1.0,1.0,1.0,180256,180256,180256,0.1692685978123867,0.1692685978123867,180224,884498,180224,884498,0.2596021443605423,1.1179874520748854,d27dfc39289fa442f29f597191ab6b05142ce6ad68b4396056b2adccb9c93253,192472c06a1727349dfc6dd1658dac61ace67d2c8749562f39e0d37b55dbf02c
15,2,87493,87493,87493,1.0,1.0,1.0,109824,109824,109824,0.11045291892033238,0.11045291892033238,109824,884482,109824,884482,1.1714728120714426,1.9138913359493017,d27dfc39289fa442f29f597191ab6b05142ce6ad68b4396056b2adccb9c93253,83ebf985dd1202ffc18e892d5aa1d06fb68af5f316e714b3beac0d269d45d147
15,3,61018,61018,61018,1.0,1.0,1.0,298252,298252,298252,0.2521627965178807,0.2521627965178807,298240,884488,298240,884488,1.2353053372353315,2.0235560070723295,d27dfc39289fa442f29f597191ab6b05142ce6ad68b4396056b2adccb9c93253,8fc98b198462d9f8e54d0dfd657ddfc6894b205a8c54ade2e6cc5a5aa5ff625b
15,4,48866,48792,48792,1.0015166420724708,1.0015166420724708,1.0,365824,365824,365824,0.2139636217054065,0.2139636217054065,267520,982786,267520,982786,0.9235233794897795,1.6407649144530296,d27dfc39289fa442f29f597191ab6b05142ce6ad68b4396056b2adccb9c93253,36c96b09f6be9ccf6b97d8cf8feb0807d362edb51bab69342dfc13ab3a056597
15,5,42569,42569,42569,1.0,1.0,1.0,326144,326144,326144,0.2694011197512692,0.2694011197512692,326144,884482,326144,884482,1.176429893821478,1.9581103157252073,d27dfc39289fa442f29f597191ab6b05142ce6ad68b4396056b2adccb9c93253,d891468d653dcf64c74ba35b71f9322aa01f6dc68c23c7f43ccec115ea56a7d7
16,1,7715523,7715523,7715523,1.0,1.0,1.0,0,0,0,0.0,0.0,0,393216,0,393216,15.388370206579566,58.99134789034724,76537aa7163cf0748adcff2ecbd84fbc9a02a2d129ffcecd2bfebb89685e71ef,19d365422ae9ccef1999767d13ce89179d5ab1c75a35ee55f2d898297a4e7d23
16,2,4027025,4026193,4026193,1.0002066468249287,1.0002066468249287,1.0,404200,404200,404200,0.49653249554250156,0.49653249554250156,393216,398708,393216,398708,54.39249049499631,85.45256033353508,76537aa7163cf0748adcff2ecbd84fbc9a02a2d129ffcecd2bfebb89685e71ef,8307d7bb21230a7be92c2d1a0f24919bf4541787d887cc83e0626e19b60690df
16,3,2877849,2877209,2877209,1.000222437786063,1.000222437786063,1.0,341100,341100,341100,0.4511892425296108,0.4511892425296108,328288,399318,328288,399318,50.31541188620031,89.26290943473577,76537aa7163cf0748adcff2ecbd84fbc9a02a2d129ffcecd2bfebb89685e71ef,464af56c331e9c382ba4b346ceb4300c876a94df136f9cc645dee82017631ff3
16,4,2244367,2240364,2240364,1.001786763222405,1.001786763222405,1.0,605676,605676,605676,0.5964281317421587,0.5964281317421587,591040,399926,591040,399926,47.48937300592661,78.98972771316767,76537aa7163cf0748adcff2ecbd84fbc9a02a2d129ffcecd2bfebb89685e71ef,2cbd710aba156e0b8060b890600493dbc82d9ff79538fa79b345dd416a5501a4
