case,cores,makespan,added_copy_bytes,speedup,search_seconds,role
49,1,196276,0,1.0,0.0,prescribed_reference
49,2,126174,1027062,1.5555978252254823,20.804658574983478,routed
49,3,83711,2408560,2.344685883575635,23.28120700828731,routed
49,4,75814,2607184,2.5889149761257815,23.53752002120018,routed
49,5,76846,2907980,2.554147255550061,30.73958946764469,routed
50,1,149690,0,1.0,0.0,prescribed_reference
50,2,87435,1022694,1.712014639446446,18.64306530356407,routed
50,3,60421,1831624,2.477449893249036,19.977886959910393,routed
50,4,57912,2053712,2.584783809918497,18.834194416180253,routed
50,5,57017,1337182,2.625357349562411,20.997616734355688,routed
51,1,607628,0,1.0,0.0,prescribed_reference
51,2,319230,394084,1.903417598596623,3.0031718127429485,routed
51,3,228581,328736,2.658261185312865,3.4925929587334394,routed
51,4,183794,591064,3.306027400241575,5.26904316060245,routed
51,5,170016,427456,3.5739459815546772,6.761152017861605,routed
52,1,180301,0,1.0,0.0,prescribed_reference
52,2,90903,102912,1.9834438907406797,2.850496107712388,routed
52,3,60160,181248,2.99702460106383,1.8854741174727678,routed
52,4,45777,254976,3.9386809970072307,1.8221921529620886,routed
52,5,37846,333312,4.76407017914707,1.948380783200264,routed
53,1,1472686,5405536,1.0,0.0,prescribed_reference
53,2,723016,4631434,2.036865020967724,51.672604851424694,routed
53,3,495435,6090084,2.972511025664315,57.28678007796407,routed
53,4,394500,8679750,3.733044359949303,75.61615109443665,routed
53,5,357068,9823040,4.124385271152834,75.13877240382135,routed
54,1,815051,0,1.0,0.0,prescribed_reference
54,2,465795,2620302,1.7498062452366385,102.54713888093829,routed
54,3,359793,4112418,2.2653331221007633,135.03024129383266,routed
54,4,274779,7279264,2.9662055688389577,144.20233589038253,routed
54,5,257061,8197794,3.1706521020302576,131.47068166546524,routed
55,1,118835,69632,1.0,0.0,prescribed_reference
55,2,52737,16384,2.253351536871646,1.978497739881277,routed
55,3,35943,74240,3.30620705005147,2.1469894517213106,routed
55,4,31281,115712,3.7989514401713502,3.448224637657404,routed
55,5,24831,173568,4.785751681366034,2.106119576841593,routed
56,1,277285,0,1.0,0.0,prescribed_reference
56,2,172836,3326338,1.6043243305792774,50.30090399645269,routed
56,3,122295,3278908,2.2673453534486283,45.048774641007185,routed
56,4,115731,3685886,2.3959440426506293,50.17125823535025,routed
56,5,117134,4124830,2.3672460600679566,60.2764775659889,routed
57,1,59726,94216,1.0,0.0,prescribed_reference
57,2,29703,22304,2.0107733225600106,1.290641287341714,routed
57,3,20565,14112,2.9042548018477996,1.2529961485415697,routed
57,4,16345,28224,3.654083817681248,2.05015947856009,routed
57,5,14028,14400,4.257627601938979,2.033159375190735,routed
58,1,4539717,28696576,1.0,0.0,prescribed_reference
58,2,2266495,29548544,2.0029680189014316,102.20638934336603,routed
58,3,1538252,30400512,2.9512180058924025,106.913654319942,routed
58,4,1141935,31551488,3.975460074347489,125.09227205067873,routed
58,5,1000800,32104448,4.536088129496403,93.10395986400545,routed
59,1,829473,1691648,1.0,0.0,prescribed_reference
59,2,369318,360448,2.2459587672412393,5.614117639139295,routed
59,3,254073,1171456,3.2647034513702753,9.202651860192418,routed
59,4,185216,1081344,4.478408992743607,8.908765887841582,routed
59,5,150782,2072576,5.501140719714555,10.903351252898574,routed
60,1,888789,2068520,1.0,0.0,prescribed_reference
60,2,441525,2746508,2.012998131476134,18.815868493169546,routed
60,3,295983,3159296,3.0028380008311286,22.01214873045683,routed
60,4,223107,3960200,3.9836894404926784,15.741128167137504,routed
60,5,180081,3733888,4.935495693604545,15.975369511172175,routed
61,1,77191,0,1.0,0.0,prescribed_reference
61,2,39298,34560,1.9642475444042953,2.84536343626678,routed
61,3,28342,43008,2.723555147837132,2.3687691912055016,routed
61,4,23892,62208,3.230830403482337,4.563530595973134,routed
61,5,18840,110592,4.097186836518047,3.47883041203022,routed
62,1,2854809,0,1.0,0.0,prescribed_reference
62,2,1431735,2347008,1.993950696183302,120.04965236783028,routed
