case,cores,our_makespan,external_makespan,makespan_reduction_cycles,makespan_reduction_pct,our_speedup,external_speedup,our_added_bytes,external_added_bytes,external_partition_added_bytes,external_spill_added_bytes,external_method,external_tasks,external_candidate_count,external_search_seconds,external_final_seconds
case_020,3,186125,177950,8175,4.392209536601746,2.8623022162525187,2.993796010115201,1097728,0,0,0,component_lpt,3,4,6.7310893809990375,3.331490519001818
case_020,4,140370,133704,6666,4.7488779653772175,3.7952981406283395,3.984518039849219,1052672,0,0,0,component_lpt,4,4,6.179589843995927,2.299264041997958
case_020,5,113552,107650,5902,5.197618712131887,4.6916478793856555,4.948871342313051,1060864,0,0,0,component_lpt,5,4,5.85388052199778,2.0870336670013785
case_021,1,6567937,6567937,0,0.0,1.0,1.0,4501504,4501504,0,4501504,official_singlecore,1,1,4.901128307003091,0.0
case_021,2,3168548,3109260,59288,1.8711409768764746,2.0728538750241436,2.11237947292925,50104320,9113600,9113600,0,component_batches,16,3,2.9939781749963004,0.0
case_021,3,2124156,2101777,22379,1.0535478561838207,3.092021960722282,3.1249447491337095,50071552,12288000,12288000,0,component_batches,18,3,3.3616894549995777,0.0
case_021,4,1611899,1550324,61575,3.8200284260986574,4.07465790350388,4.236493145948847,50057216,4608000,4608000,0,component_round_robin,4,3,2.9447374110022793,1.4073679719986103
case_021,5,1313319,1249504,63815,4.859063182669252,5.001021838563212,5.256435353548288,50089984,14438400,14438400,0,component_batches,20,3,4.056352199007961,0.0
case_022,1,56780,56780,0,0.0,1.0,1.0,0,0,0,0,official_singlecore,1,1,0.3675609559977602,0.0
case_022,2,30615,28303,2312,7.551853666503348,1.8546464151559694,2.006147758188178,261196,6912,6912,0,component_pipe_balance,2,5,1.1638006379980652,0.0
case_022,3,23185,18978,4207,18.145352598662928,2.4489971964632304,2.9918853409210664,245832,13824,13824,0,component_lpt,3,5,1.2556397789921903,0.0
case_022,4,21271,14336,6935,32.603074608622066,2.669362042217103,3.960658482142857,642198,20736,20736,0,component_lpt,4,5,1.2582984599976044,0.0
case_022,5,21681,11603,10078,46.48309579816429,2.6188828928554955,4.893562009825045,642198,20736,20736,0,component_lpt,5,5,1.3837179989968718,0.0
case_023,1,122614,122614,0,0.0,1.0,1.0,0,0,0,0,official_singlecore,1,1,0.19937569400281063,0.0
case_023,2,70543,61065,9478,13.435776760273875,1.7381455282593596,2.0079259805125687,462508,73728,73728,0,component_lpt,2,5,0.9773822889910662,0.0
case_023,3,48836,40682,8154,16.69669915636006,2.5107297894995497,3.0139619487734133,756744,207264,207264,0,component_lpt,3,5,0.9628060089999053,0.0
case_023,4,38355,30516,7839,20.438013296832224,3.1968191891539566,4.018023332022546,740360,281280,281280,0,component_lpt,4,5,1.1718467210012022,0.0
case_023,5,31905,24573,7332,22.98072402444758,3.843096693308259,4.989785536971473,723976,344640,344640,0,component_lpt,5,4,0.7725485970040609,0.0
case_024,1,2555343,2555343,0,0.0,1.0,1.0,0,0,0,0,official_singlecore,1,1,5.845834182000544,0.0
case_024,2,1803647,1782398,21249,1.1781130121359666,1.4167644777498036,1.4336545485351757,44243528,39329048,39329048,0,window4_heft,1313,5,14.256823422008893,0.0
case_024,3,1483888,1556206,-72318,-4.8735484079661,1.7220592120160012,1.6420338952555125,44243528,39329048,39329048,0,window4_heft,1313,5,13.403988716003369,0.0
case_024,4,1413568,1401810,11758,0.8317958527640693,1.8077255568886677,1.8228882658848204,44243528,39329048,39329048,0,window4_heft,1313,5,12.953215084002295,0.0
case_024,5,1378992,1333910,45082,3.2691995312518127,1.8530513592537157,1.9156787189540523,44243528,39329048,39329048,0,window4_heft,1313,5,13.162525031002588,0.0
case_025,1,4863026,4863026,0,0.0,1.0,1.0,0,0,0,0,official_singlecore,1,1,109.21662031199958,0.0
case_025,2,2782996,2431840,351156,12.617912494304699,1.7474067515727654,1.9997310678334101,26403840,27648,27648,0,component_round_robin,2,3,26.98665150200395,93.85736999499932
case_025,3,1864617,1622164,242453,13.002831144411962,2.6080562388951725,2.9978633479722148,26428416,55296,55296,0,component_round_robin,3,3,24.297653247998824,50.16554900399933
case_025,4,1401788,1217444,184344,13.15063333399915,3.469159387867495,3.9944555971362954,26436096,82944,82944,0,component_round_robin,4,3,23.764528892999806,35.20481281499815
case_025,5,1128061,975282,152779,13.5435051827871,4.3109601342480595,4.986276789687495,26463744,110592,110592,0,component_round_robin,5,3,22.211157023997657,30.64801237500069
case_026,1,99203,99203,0,0.0,1.0,1.0,0,0,0,0,official_singlecore,1,1,0.0884879129989713,0.0
case_026,2,62536,55057,7479,11.959511321478828,1.5863342714596393,1.8018235646693428,1435860,21936,21936,0,component_lpt,2,5,0.36458650500208023,0.0
