case,cores,structure,prefix8,final12,late_gain,search_seconds,late_evaluation_seconds
case_033,5,distributed_components,355102,353592,1510,31.330277351662517,7.402453910559416
case_034,2,distributed_components,419167,419167,0,29.139062261208892,7.36935443803668
case_034,3,distributed_components,278067,278067,0,29.91662535816431,7.388384513556957
case_034,4,distributed_components,211953,205314,6639,32.15501760877669,8.071193916723132
case_034,5,distributed_components,171637,167930,3707,32.5970436707139,8.46971401385963
case_035,2,dominant_component,95406,95406,0,21.536972273141146,5.518986888229847
case_035,3,dominant_component,95782,95782,0,23.216754384338856,5.882096068933606
case_035,4,dominant_component,95000,94869,131,25.85923571884632,6.301946869120002
case_035,5,dominant_component,95983,95983,0,24.961178820580244,5.871817657724023
case_036,2,distributed_components,466068,466068,0,20.821211678907275,3.9234162345528603
case_036,3,distributed_components,311345,311345,0,19.862264474853873,4.181210262700915
case_036,4,distributed_components,233584,233584,0,18.951054271310568,4.11485630273819
case_036,5,distributed_components,187182,187182,0,20.16484611108899,4.299268200993538
case_037,2,distributed_components,105374,105374,0,1.3553560000145808,0.34929709997959435
case_037,3,distributed_components,74038,74038,0,1.5646581000182778,0.42172689992003143
case_037,4,distributed_components,53320,53320,0,1.4304872999200597,0.38210440007969737
case_037,5,distributed_components,43800,43800,0,1.6893043000018224,0.4604946000035852
case_038,2,distributed_components,674500,674500,0,52.71922857128084,12.718173025175929
case_038,3,distributed_components,452248,450730,1518,54.961540479213,12.958026647567749
case_038,4,distributed_components,339624,338163,1461,56.05045558512211,13.079664658755064
case_038,5,distributed_components,275133,274658,475,56.34265740402043,13.97280820645392
case_039,2,distributed_components,708557,708557,0,52.053322076797485,12.96317172050476
case_039,3,distributed_components,483917,482318,1599,53.036868304014206,13.517355566844344
case_039,4,distributed_components,395323,395323,0,53.57251254469156,13.309822004288435
case_039,5,distributed_components,431161,431161,0,55.393181450665,13.83642834611237
case_040,2,dominant_component,137746,120926,16820,18.670189501717687,3.9748258367180824
case_040,3,dominant_component,110105,109777,328,21.813939476385713,4.735255567356944
case_040,4,dominant_component,109607,109607,0,18.761347452178597,4.64662417024374
case_040,5,dominant_component,109411,108131,1280,21.32200931943953,4.934598725289106
case_041,2,distributed_components,2990398,2990398,0,172.51421609707177,37.31423428840935
case_041,3,distributed_components,1991911,1991911,0,190.91731403954327,44.93832513131201
case_041,4,distributed_components,1490603,1490603,0,182.3121707327664,42.96896506845951
case_041,5,distributed_components,1201884,1201884,0,173.96372761018574,38.880061119794846
