case,cores,version,position,candidate,makespan,added_copy_bytes,seconds,cache_hit,plan_sha256,improvement_over_prefix
case_001,3,current,10,random_migrate,155690,2304,0.04333429993130267,False,44132f43630f2478299460060d728e89682f9fc49cccd081660a0f319358710a,0
case_001,3,current,11,grain_0.25,105503,887040,0.07880529994145036,False,75e94e792df7fab2a589dd858c79223e5c3b423039703d60d4e46af46ae51ae8,0
case_001,4,current,0,single_task,233110,0,0.010560199967585504,True,562e4a0915cae1986b892e470a76b6ece5d7aa9bd08140bf7d11984b586a36e2,0
case_001,4,current,1,greedy,71772,201600,0.06611640006303787,False,57f0082fc70fe1a519bf2ebd650e7f2b28d7ed1bbc6b9984ed192b30ab331537,161338
case_001,4,current,2,multilevel,101158,161280,0.07353329996112734,False,a5fe1bb72ff35d361ea6ab631da1571620628cd8c4633ee545fa6562e108b9f9,0
case_001,4,current,3,grain_0.5,70134,443520,0.07288270001299679,False,0e38463e492090bd00f294acb26750b6962c442e90e91bcdfc17771b8f6d4e16,1638
case_001,4,current,4,directed_split,69741,456960,0.07427359989378601,False,eda1031e844e3a1eefed3c9404fa94c66dda998696da71d2d92ade5b8ededb9a,393
case_001,4,current,5,structural_component_lpt,58984,3456,0.04753780004102737,False,56a83f06de40a136315fa9e41b1a9d8b458a6292d618d1a042b6c9d45577aa8f,10757
case_001,4,current,6,grain_1.0,72869,241920,0.07726499997079372,False,91e30b221d34c142e1ad528109ea4746452f8a4475e56153ff37a74ded23492a,0
case_001,4,current,7,directed_split,59394,4608,0.06438469991553575,False,0ba8be33728abbeeb90dc5c2bc09b6314b78bf85ad7c570366921c5aa3570897,0
case_001,4,current,8,region_repartition_2_0,59394,4608,0.05952080001588911,False,0b0f71a55ef3f74dcaf9b14b44c6c75f4e94608a2bd062526563e3499711f451,0
case_001,4,current,9,directed_split,59394,4608,0.0606508000055328,False,975699d084a73ec9cd007663a44ddc94310cd9e0992dcaa25d7919b994eb89f8,0
case_001,4,current,10,random_migrate,117436,3456,0.0435427000047639,False,c4b25815c46d1a44a81b81b415f57f3b67ac0e1c7adf7db89ff3e816b1febd0c,0
case_001,4,current,11,grain_0.25,83787,887040,0.09892429993487895,False,6ddbd624b486558c45c13376bfb6b9c39e7357fbc24cac7c98ff23b0db259d07,0
case_001,5,current,0,single_task,233110,0,0.00882160000037402,True,95da7e455b157b8dd89c46eb5a02657db45bcb1972bc1771fac20975abb6e0b6,0
case_001,5,current,1,greedy,50628,21888,0.05911869998089969,False,a0f8be88087a9ecdb81d80bba9bfac8b0261107b995f523ea2e837649ab58bd5,182482
case_001,5,current,2,grain_0.5,57060,443520,0.0693747999612242,False,4f16c4eccf5a8d78b1035c53be10e69a73494c0e1ffed79d48af5069788e9831,0
case_001,5,current,3,directed_split,51038,23040,0.05928739998489618,False,6c56b21f571eb6ce29f4b37fd7b3d35987f8dfd40562df3f4a95155fdb608b6b,0
case_001,5,current,4,structural_component_lpt,47502,4608,0.042838499997742474,False,8098954c54344af9884afc919dbe2acdfc8e1cac6e69c0487f11d1ae8cd7d252,3126
case_001,5,current,5,directed_split,47912,5760,0.06002880004234612,False,93b55edbb033a3104b82302259146dde9d1bbe1ffd27c82c01e1df79c6c5e6be,0
case_001,5,current,6,region_repartition_2_0,47912,5760,0.065025300020352,False,9fc3adaefb45dbaf281a35f8e3af3beba13d113f5fe6346a1d0e40b09798b1f2,0
case_001,5,current,7,directed_split,47912,5760,0.06552679999731481,False,aa99ed8b90ae9b40e5c2fc92c080fcaadab8770e8cb5f45e9a0038d67d28945c,0
case_001,5,current,8,random_migrate,94314,4608,0.04407619999255985,False,43115df81f411e565d4835ee36386cfdb7dc725aa81b2a963521a350c835cebe,0
case_001,5,current,9,grain_0.25,72591,887040,0.09398630005307496,False,415117d626ca6a68b167454853f48f470a8d45b4a53c5d8a401e9c015c2dcb4e,0
case_001,5,current,10,directed_split,47912,5760,0.08191349997650832,False,83067cded425fbf8cc38faa16b4a661dc89e96b6b22a368129d4857ba73f91e2,0
case_001,5,current,11,directed_split,47912,5760,0.061911400058306754,False,56ae732d66ce3d186a4eb329eedfe11a7d201f39b5bbeadd85fefcd725b50416,0
case_026,2,current,0,single_task,99203,0,0.006312399986200035,True,186adcf0b0743468f62990c866bcf9ea125eb4e30098f61e7f994dd9b218fa04,0
case_026,2,current,1,greedy,81341,853588,0.057471799897029996,False,b2cdb5b45bf0396fa0a4c38982cc334d94a4ff659443cf910dd3f063254268af,17862
case_026,2,current,2,multilevel,88478,231840,0.05349800002295524,False,87a4971c2a26e795231bf583cf8e0d40efe27f50d9021a3ca92b46618d51a7e1,0
case_026,2,current,3,grain_0.5,64081,1416020,0.06530439993366599,False,812e88fe45b21d74e808ab9762cdc25f9eb31ea6588a9895cca8955884ef3c0f,17260
case_026,2,current,4,directed_split,62605,1429460,0.06389340001624078,False,badcd25fa3d5a97302bc57a03400aa39f4deeb067ece6500eb6c7ba371f7b604,1476
case_026,2,current,5,structural_component_lpt,55057,21936,0.035472100018523633,False,6cda0d4b315e879955e30b2c9b217ada2fcfc0e6f0fd708fa9d4ccafe2400a5d,7548
case_026,2,current,6,local_reschedule,55057,21936,0.03648270003031939,False,b44270912f8b68c03a98f560ae4be8aedb8a9c22d140908f0de86a22227fbc6b,0
case_026,2,current,7,grain_1.0,75950,886004,0.05849259998649359,False,1e9e8ac32276ec6c7d6dcd6847e2da6cf2b5110114ae380e17ae5c4ca6b2321a,0
case_026,2,current,8,directed_split,51912,185812,0.05005800002254546,False,de86e5fae28a7929f4d45319c418baa077dabd800d1781d4fecba89035c794ef,3145
case_026,2,current,9,region_boundary_854_0,51839,218580,0.05919749999884516,False,ea2d776e6eb2b48028743caab935b9fbd7cdb0b8e994825de1a194cea8d09b59,73
case_026,2,current,10,structural_component_pipe,58112,288,0.0496381000848487,False,4636f9e9521f99709a0110b454386e0344218d65897e67c915b601d369d5780c,0
case_026,2,current,11,grain_0.25,74665,2185408,0.07533299992792308,False,da805698a793617bd5d8277f7cda7de6aef453a1bb81a0c8a41519b39cad0e0b,0
case_026,3,current,0,single_task,99203,0,0.006498000002466142,True,75a659491b4aa2e4ad795d929015f3965b8618a0989d5fd53db974005eb8c3b4,0
case_026,3,current,1,greedy,89917,1173068,0.05967450002208352,False,292d1fe5b082cde6e83dcb73951946ec5619471850fe3b23134a4f7e9311cd8e,9286
case_026,3,current,2,multilevel,94540,40076,0.054924000054597855,False,1a20b7306945cef53f146a82ade7fa4c14c03fe79805f2405a578b0d40126e59,0
case_026,3,current,3,grain_0.5,52136,1416020,0.06912470003589988,False,c48ed72021637ec4112e52cdf31f261993870dce0acfc72fea522965953af39d,37781
case_026,3,current,4,directed_split,52482,1444692,0.06762809993233532,False,a4f8eaae55cfde931e81da91fbe57b990583169afb7322db7e4bbe0027ea95c7,0
case_026,3,current,5,structural_hybrid_work_1,42462,414516,0.05966410005930811,False,beb8323641888685eafd0009cc130810b8414ed4fe5d4c343a7fbf2d0db703fd,9674
case_026,3,current,6,local_reschedule,42502,414516,0.05633350007701665,False,d5bdfec7221fd1447bfb4532e16175c9284c6d9ca0dd3c440b950bf5d7e81c13,0
case_026,3,current,7,grain_1.0,76031,886004,0.06186650006566197,False,48370c61c1720ebcf874eea9b31ae0496dbf5198e5b7583ec158a0550f3ecd62,0
case_026,3,current,8,directed_split,44052,611160,0.07285330002196133,False,1a3d36f24334d5fbf73ab4cf8df38a84f9bd287970655c245be5bccc4d241dbb,0
case_026,3,current,9,region_boundary_938_0,42174,381752,0.05641970003489405,False,8f073adcf7ec0aa9b78f3a429d78c7f45cff934d9e8eac12620a1cbcc1786cc8,288
case_026,3,current,10,grain_0.25,56371,2185408,0.08582539996132255,False,2560ac097289ce445f9bd43f942de547e0193e1e428bdd792980a46b8a55542f,0
case_026,3,current,11,directed_split,43708,578396,0.05883300001733005,False,8b0946d26a42061bec1d4c963490307d671ccf5c0b410b1a1054907090aade51,0
case_026,4,current,0,single_task,99203,0,0.00662549992557615,True,a4a43434ba4833c0ae9dcd2ece525e459f30cd780c0289fd5c344d0f7d190716,0
case_026,4,current,1,greedy,79544,1000104,0.06288099999073893,False,5823e4ce4593974dc25f323a69bc47619f1efc028096c74efe5ebdf6c9615c5c,19659
case_026,4,current,2,multilevel,92790,202600,0.057033800054341555,False,5e3256925b74abb59e053b0ae8135c02ac69834eb2a38f1b3442c9c201ddcf48,0
case_026,4,current,3,grain_0.5,53254,1416020,0.06889510003384203,False,c93277c93f10dc43041b24e78c68a751e09468eb0024eb5b07b6b0935ab089f5,26290
case_026,4,current,4,directed_split,52863,1444692,0.06662990001495928,False,0dfd37fefa87b6bb41b8c871047e784e65c3d1f1f82f0dd3f960c24e0791fa23,391
case_026,4,current,5,structural_hybrid_work_1,43460,414516,0.057504700031131506,False,d4f5535b3c4889bfbc45e32ae0e3640ddc21b3adea55839740bc80da6a06c667,9403
case_026,4,current,6,local_reschedule,42654,414516,0.05508030008058995,False,ab5c77a27d838dc3da617c1495e37d27af73433f1c244004dade7da1744379ac,806
case_026,4,current,7,grain_1.0,76064,886004,0.07158420002087951,False,1751d8640f74837caf04f6f1ecb4691346bbb216f477d36fad65e23a66460c08,0
case_026,4,current,8,directed_split,43583,611144,0.0571477001067251,False,505a03a2fb6cb8ae6e4ad92e92f61a60787ff930df91f9f9683d81fe3c88077d,0
case_026,4,current,9,region_repartition_1_0,42089,217872,0.054634799947962165,False,4ac67a5d27d26de938c95e358add9785ad80095ac513bf8e4a221e496bd426e3,565
case_026,4,current,10,grain_0.25,54850,2185408,0.0815264000557363,False,1d6bad66917bef41df61d47cff21a9ce1ad6306516f270d9c0bd4b32fc00c226,0
case_026,4,current,11,directed_split,42548,381736,0.05768890003673732,False,b3b72ba42def0290b8c2b686c96be581c6355679bf9b54cc0ec8ee3ee2bea53d,0
case_026,5,current,0,single_task,99203,0,0.007011400070041418,True,b1f6ddc8ac36e7a1ccd5cb8414e2df99cea043e2e313dc71e7430f4ad19d0d1c,0
case_026,5,current,1,greedy,76209,886004,0.06699490000028163,False,c49ec2537cd649d5292330b43f4d4bdbab86b9461d53c177809380dd76a91d03,22994
case_026,5,current,2,multilevel,83508,145712,0.058334199944511056,False,49c6a42661eb622c0f823741a9bd7a7f783ebf4d92cf957e8c6f4918698caf8c,0
case_026,5,current,3,grain_0.5,54305,1416020,0.07247490005102009,False,d83155e307959876307eae7cbbf9c266b135229cf40b49cf31b2efaec7e7dd0d,21904
case_026,5,current,4,directed_split,54272,1448796,0.07277710002381355,False,dcf72a2777baf641bada1718589e98161262ffceb49da20e44043f9cd6663cb2,33
case_026,5,current,5,structural_hybrid_work_1,44595,480064,0.062492999946698546,False,2cef7cc7a19e527272b77313059f01eb9533232c72dd3236c78109fc262f62db,9677
case_026,5,current,6,local_reschedule,44595,480064,0.05938899994362146,False,3e99df8692bfab34acd0ca8a6aef25feab5e6362e5bf3cd0d4edcbbe34abcaf6,0
case_026,5,current,7,directed_split,45245,676680,0.07484299992211163,False,85674de065d9e96575b92a4762be78406716a3371eaa1975b168b79b1bca2325,0
case_026,5,current,8,region_repartition_2_0,43946,414504,0.06161219999194145,False,d7593146e90d20e2658e41681adaf5ac035373db361ef46262f10efab001e87b,649
case_026,5,current,9,local_reschedule,43946,414504,0.06256510003004223,False,9872fbd5d24e61ef2fa83eb94f4ce9f794b0556e5282d7bf654388a2d94e0041,0
case_026,5,current,10,directed_split,44596,611124,0.06249579996801913,False,cc153830b9b8362aa0472b41c4d4f1e63a7485e12cc871002d32c19c47167e42,0
case_026,5,current,11,grain_0.25,55063,2185408,0.09128389996476471,False,1d9cf134759abba2446e508aced2885531de4198e0e39d3e341a7e52343176bb,0
case_019,2,current,0,single_task,81144,0,0.007228299975395203,True,16c8fc8a652005491964e577b1cbae14f3e553544ad034d7f13b8c075371ea6b,0
case_019,2,current,1,greedy,51991,277524,0.05585529992822558,False,a6f0691a710beb7cd5ca4cd96c9766e46456dfbca393a8ab511ffe2795aede08,29153
case_019,2,current,2,multilevel,70777,18444,0.06806849990971386,False,514088759f445bf1917f14ec4c6d1476ca79b977687fd6cce2f876586bfdc050,0
case_019,2,current,3,grain_0.5,50133,529828,0.06239930004812777,False,7279b42781a93fb3ef2bba4bc3bd3fda05fceb00d3382c2f2dfe89ee9d6a2baf,1858
case_019,2,current,4,directed_split,49512,546212,0.06985510000959039,False,de388c7bfdcf429c73032256cf3c616ce8eecd4648d49dbabc83ef91d6143e13,621
case_019,2,current,5,structural_component_lpt,41643,27168,0.0372175999218598,False,26bfbae0bce06f43e4e455003f37f40ebb121f1312c67c9c82bff8fe8f92d10f,7869
case_019,2,current,6,structural_component_pipe,43224,27168,0.06315220007672906,False,9b88fddc81086ddbd244aaee97feae3815b3780b70c62c08e6a9d004ab089e19,0
case_019,2,current,7,grain_1.0,49509,322464,0.05527600005734712,False,5417098cf7caaf113e4fbf8bcb75e0f40c9c1199b79d54fc59078bc9873a1fc7,0
case_019,2,current,8,directed_split,40172,45612,0.050794600043445826,False,fecf29b24a45760826d38fb441c30a9a7f90b1279f5a06909a6eb3a1f689982f,1471
case_019,2,current,9,region_boundary_1018_0,40136,42540,0.048976900056004524,False,7a428fecf2472ac5a5ce04c6a96700c3a6601dce2e8fb4b123b9381be58b1fff,36
case_019,2,current,10,grain_2.0,46867,277524,0.06350679998286068,False,3c0d191b340dd496f61ebca8bfe36558c77362a20a145f62bb439c31275b1eab,0
case_019,2,current,11,grain_0.25,54617,773232,0.07271900004707277,False,c5db371f5a4c742150386e277f77fee457ccae1f3887adeb085e7d4f08953aaf,0
case_019,3,current,0,single_task,81144,0,0.0068159999791532755,True,e6327420c271634a0aef28a1698195e52df10a5e4effa0ace4f15386512f8fb0,0
case_019,3,current,1,greedy,35344,275232,0.05778610007837415,False,e74e9dd346a66212e375aa36e31795d053173ed5f44beb2d1da932b460e97ed3,45800
case_019,3,current,2,multilevel,81672,9228,0.07595650001894683,False,b2d64f0a7895f5d5f1ecee42f5b12bd88ddf143b3116022f12ec9cdc1ce8312e,0
case_019,3,current,3,grain_0.5,35807,529828,0.07312369998544455,False,56010fe7f1d3dfd07438610f00e100c87dbb0d0070e76620bb41d144595707c2,0
case_019,3,current,4,directed_split,32154,295712,0.0725899999961257,False,38dec2c4124bff727a74605d03665fee3cf38d38a8635e1dccd06ccf03815344,3190
case_019,3,current,5,structural_component_lpt,28363,54336,0.03997779998462647,False,f0ddce9cdc3c486739a9801776c1eb45b5239a7e38ae6661029d7faaf4804a8b,3791
case_019,3,current,6,structural_component_pipe,28986,27168,0.05567840009462088,False,a2ba74a3f42bf392f086c36d91942335146cbd00980bb86b258b5dbf99126a12,0
