case,cores,arm,makespan,bytes,reference,speedup,slots,official_calls,cache_hits,solve_seconds,replay_seconds,replay_equal,base_makespan
9,4,legacy,77482,273632,153261,1.978020701582303,12,12,0,24.55317435413599,1.246852895244956,True,77543
9,4,routed,62725,838982,153261,2.4433798326026306,12,12,0,27.823815744370222,1.3140565883368254,True,62725
9,5,legacy,65410,1009526,153261,2.343082097538603,12,12,0,47.49941601976752,1.500871442258358,True,65463
9,5,routed,56088,898504,153261,2.732509627727856,12,12,0,27.195883441716433,1.4256774969398975,True,56088
10,2,legacy,42106,311944,86969,2.0654776041419276,12,10,2,2.4139280430972576,0.1593672465533018,True,42106
10,2,routed,42106,311944,86969,2.0654776041419276,12,10,2,1.8177753686904907,0.16121795028448105,True,42106
10,3,legacy,30856,48384,86969,2.8185442053409386,12,12,0,1.411138016730547,0.06676455400884151,True,30856
10,3,routed,30856,48384,86969,2.8185442053409386,12,12,0,0.9786678217351437,0.06719707325100899,True,30856
10,4,legacy,26340,483232,86969,3.301784358390281,12,12,0,1.7385717816650867,0.08676910400390625,True,27450
10,4,routed,26340,483232,86969,3.301784358390281,12,12,0,1.8387508038431406,0.08288087882101536,True,27450
10,5,legacy,22006,562432,86969,3.9520585294919566,12,12,0,1.5345911588519812,0.08587423898279667,True,22006
10,5,routed,22006,562432,86969,3.9520585294919566,12,12,0,1.5256872866302729,0.08494958840310574,True,22006
11,2,legacy,92646,180224,184697,1.9935777043801135,12,10,2,1.0226570405066013,0.0881572887301445,True,92646
11,2,routed,92646,180224,184697,1.9935777043801135,12,10,2,1.0311762224882841,0.08907769434154034,True,92646
11,3,legacy,64180,1660928,184697,2.8777968214397007,12,10,2,2.4075745940208435,0.12577282637357712,True,64651
11,3,routed,64180,1660928,184697,2.8777968214397007,12,10,2,2.8705628234893084,0.22359887696802616,True,64651
11,4,legacy,46880,540672,184697,3.9397824232081913,12,9,3,1.1068644244223833,0.09271737560629845,True,46880
11,4,routed,46880,540672,184697,3.9397824232081913,12,9,3,1.0992579273879528,0.10006048902869225,True,46880
11,5,legacy,46194,2033664,184697,3.998289821188899,12,11,1,2.874536868184805,0.14002390019595623,True,46211
11,5,routed,46194,2033664,184697,3.998289821188899,12,11,1,2.761585084721446,0.1496121622622013,True,46211
12,2,legacy,25535,94960,59088,2.314000391619346,12,11,1,3.3742626514285803,0.13216568529605865,True,25733
12,2,routed,25535,94960,59088,2.314000391619346,12,11,1,3.506656087934971,0.24700086936354637,True,25733
12,3,legacy,18128,189892,59088,3.259488084730803,12,11,1,2.3040083833038807,0.16722003743052483,True,19120
12,3,routed,18128,189892,59088,3.259488084730803,12,11,1,2.3739836253225803,0.14796343073248863,True,19120
12,4,legacy,14948,39168,59088,3.952903398447953,12,11,1,2.221286676824093,0.12901878356933594,True,14948
12,4,routed,14948,39168,59088,3.952903398447953,12,11,1,2.2437748834490776,0.1300698220729828,True,14948
12,5,legacy,12519,25344,59088,4.719865803977953,12,11,1,2.3981753271073103,0.15896728076040745,True,12519
12,5,routed,12519,25344,59088,4.719865803977953,12,11,1,2.9796621575951576,0.23083417676389217,True,12519
13,2,legacy,132198,8192,263949,1.9966187083011846,12,8,4,4.846538042649627,0.5218123644590378,True,132198
