case,cores,outcome,loss_type,legacy_base,routed_base,legacy_final,routed_final,base_gap,legacy_J_gain,routed_J_gain,final_gap,J_gain_difference,same_anchor,legacy_base_name,routed_base_name,legacy_base_slot,routed_base_slot,legacy_base_missing_from_routed,old_base_alone_beats_routed_final,ops,largest_fraction,legacy_final_bytes,routed_final_bytes,keep_old_chain_anchor_known,keep_old_chain_cycles,keep_old_chain_bytes,keep_old_chain_J_source,keep_old_depth_anchor_known,keep_old_depth_cycles,keep_old_depth_bytes,keep_old_depth_J_source
24,2,win,not_loss,1382326,1335245,1382326,1335245,-47081,0,0,-47081,0,False,chains,chains_reference_gate,7,7,True,False,5972,1.0,3632,396856,True,1382326,3632,legacy,True,1335245,396856,routed
24,3,win,not_loss,982864,954537,982864,954537,-28327,0,0,-28327,0,False,chains,chains_reference_gate,7,7,True,False,5972,1.0,5044,332124,True,982864,5044,legacy,True,954537,332124,routed
24,4,win,not_loss,797232,748435,797232,748435,-48797,0,0,-48797,0,False,chains,chains_reference_gate,7,7,True,False,5972,1.0,5632,595068,True,797232,5632,legacy,True,748435,595068,routed
24,5,win,not_loss,743500,695849,743500,695849,-47651,0,0,-47651,0,False,chains,chains_reference_gate,7,7,True,False,5972,1.0,628436,432232,True,743500,628436,legacy,True,695849,432232,routed
25,2,tie,not_loss,2431840,2431840,2431840,2431840,0,0,0,0,0,True,migration_B,migration_B,1,1,False,False,23997,0.00037509377344336085,27648,27648,True,2431840,27648,legacy,True,2431840,27648,legacy
25,3,tie,not_loss,1622164,1622164,1622164,1622164,0,0,0,0,0,True,migration_B,migration_B,1,1,False,False,23997,0.00037509377344336085,55296,55296,True,1622164,55296,legacy,True,1622164,55296,legacy
25,4,tie,not_loss,1217444,1217444,1217444,1217444,0,0,0,0,0,True,migration_B,migration_B,1,1,False,False,23997,0.00037509377344336085,82944,82944,True,1217444,82944,legacy,True,1217444,82944,legacy
25,5,tie,not_loss,975282,975282,975282,975282,0,0,0,0,0,True,migration_B,migration_B,1,1,False,False,23997,0.00037509377344336085,110592,110592,True,975282,110592,legacy,True,975282,110592,legacy
26,2,tie,not_loss,51429,51429,51429,51429,0,0,0,0,0,True,migration_B,migration_B,1,1,False,False,769,0.3113207547169811,21936,21936,True,51429,21936,legacy,True,51429,21936,legacy
26,3,tie,not_loss,41688,41688,41688,41688,0,0,0,0,0,True,components_pipe,components_pipe,3,3,False,False,769,0.3113207547169811,95664,95664,True,41688,95664,legacy,True,41688,95664,legacy
26,4,tie,not_loss,42226,42226,42226,42226,0,0,0,0,0,True,components_pipe,components_pipe,3,3,False,False,769,0.3113207547169811,172128,172128,True,42226,172128,legacy,True,42226,172128,legacy
26,5,tie,not_loss,38842,38842,38198,38198,0,644,644,0,0,True,chains,chains,7,7,False,False,769,0.3113207547169811,835212,835212,True,38198,835212,legacy,True,38198,835212,legacy
27,2,tie,not_loss,1120962,1120962,1120962,1120962,0,0,0,0,0,True,migration_B,migration_B,1,1,False,False,1800,0.0625,1744896,1744896,True,1120962,1744896,legacy,True,1120962,1744896,legacy
27,3,tie,not_loss,744579,744579,744579,744579,0,0,0,0,0,True,migration_B,migration_B,1,1,False,False,1800,0.0625,18481152,18481152,True,744579,18481152,legacy,True,744579,18481152,legacy
27,4,tie,not_loss,559196,559196,559196,559196,0,0,0,0,0,True,migration_B,migration_B,1,1,False,False,1800,0.0625,3317760,3317760,True,559196,3317760,legacy,True,559196,3317760,legacy
27,5,tie,not_loss,502641,502641,499622,499622,0,3019,3019,0,0,True,chains,chains,6,6,False,False,1800,0.0625,21954560,21954560,True,499622,21954560,legacy,True,499622,21954560,legacy
28,2,tie,not_loss,20517451,20517451,20517451,20517451,0,0,0,0,0,True,chains,chains,6,6,False,False,19944,0.006535947712418301,75738432,75738432,True,20517451,75738432,legacy,True,20517451,75738432,legacy
28,3,tie,not_loss,13777051,13777051,13687852,13687852,0,89199,89199,0,0,True,chains,chains,6,6,False,False,19944,0.006535947712418301,44350128,44350128,True,13687852,44350128,legacy,True,13687852,44350128,legacy
28,4,tie,not_loss,10347838,10347838,10347838,10347838,0,0,0,0,0,True,depth8,depth8,7,7,False,False,19944,0.006535947712418301,74883456,74883456,True,10347838,74883456,legacy,True,10347838,74883456,legacy
28,5,tie,not_loss,8379068,8379068,8286707,8286707,0,92361,92361,0,0,True,depth8,depth8,7,7,False,False,19944,0.006535947712418301,73953792,73953792,True,8286707,73953792,legacy,True,8286707,73953792,legacy
29,2,tie,not_loss,18880,18880,18880,18880,0,0,0,0,0,True,depth8,depth8,7,7,False,False,1113,0.047619047619047616,16388,16388,True,18880,16388,legacy,True,18880,16388,legacy
29,3,tie,not_loss,12743,12743,12743,12743,0,0,0,0,0,True,migration_B,migration_B,1,1,False,False,1113,0.047619047619047616,0,0,True,12743,0,legacy,True,12743,0,legacy
29,4,tie,not_loss,10168,10168,10168,10168,0,0,0,0,0,True,depth8,depth8,7,7,False,False,1113,0.047619047619047616,49164,49164,True,10168,49164,legacy,True,10168,49164,legacy
29,5,tie,not_loss,8787,8787,8787,8787,0,0,0,0,0,True,depth8,depth8,7,7,False,False,1113,0.047619047619047616,65552,65552,True,8787,65552,legacy,True,8787,65552,legacy
30,2,tie,not_loss,1391843,1391843,1390496,1390496,0,1347,1347,0,0,True,hybrid_work_1,hybrid_work_1,5,5,False,False,11248,0.005660377358490566,1292288,1292288,True,1390496,1292288,legacy,True,1390496,1292288,legacy
30,3,tie,not_loss,933720,933720,933720,933720,0,0,0,0,0,True,migration_B,migration_B,1,1,False,False,11248,0.005660377358490566,8985600,8985600,True,933720,8985600,legacy,True,933720,8985600,legacy
