case,cores,makespan,added_copy_bytes,speedup,search_seconds,role
54,1,815051,0,1.0,0.0,prescribed_single_reference
54,2,465795,2620302,1.7498062452366385,199.1790454275906,r07_reserve_fast
54,3,359793,4112418,2.2653331221007633,201.92854881472886,r07_reserve_fast
54,4,274779,7279264,2.9662055688389577,212.53358702734113,r07_reserve_fast
54,5,257061,8197794,3.1706521020302576,131.54480755142868,r07_reserve_fast
55,1,118835,69632,1.0,0.0,prescribed_single_reference
55,2,52737,16384,2.253351536871646,2.027872696518898,r07_reserve_fast
55,3,35943,74240,3.30620705005147,2.2784986346960068,r07_reserve_fast
55,4,31281,115712,3.7989514401713502,2.327072389423847,r07_reserve_fast
55,5,24831,173568,4.785751681366034,1.9617202151566744,r07_reserve_fast
56,1,277285,0,1.0,0.0,prescribed_single_reference
56,2,172836,3326338,1.6043243305792774,48.77877160720527,r07_reserve_fast
56,3,122295,3278908,2.2673453534486283,38.11667541228235,r07_reserve_fast
56,4,115731,3685886,2.3959440426506293,40.09548461437225,r07_reserve_fast
56,5,117134,4124830,2.3672460600679566,49.041568430140615,r07_reserve_fast
57,1,59726,94216,1.0,0.0,prescribed_single_reference
57,2,29703,22304,2.0107733225600106,1.2730660550296307,r07_reserve_fast
57,3,20565,14112,2.9042548018477996,1.3773076795041561,r07_reserve_fast
57,4,16345,28224,3.654083817681248,1.3476041946560144,r07_reserve_fast
57,5,14028,14400,4.257627601938979,1.7626493219286203,r07_reserve_fast
58,1,4539717,28696576,1.0,0.0,prescribed_single_reference
58,2,2266495,29548544,2.0029680189014316,197.44167825579643,r07_reserve_fast
58,3,1538252,30400512,2.9512180058924025,170.71334495022893,r07_reserve_fast
58,4,1141935,31551488,3.975460074347489,221.89772841893137,r07_reserve_fast
58,5,1000800,32104448,4.536088129496403,176.364929061383,r07_reserve_fast
59,1,829473,1691648,1.0,0.0,prescribed_single_reference
59,2,369318,360448,2.2459587672412393,5.361667426303029,r07_reserve_fast
59,3,254073,1171456,3.2647034513702753,7.780338678508997,r07_reserve_fast
59,4,185216,1081344,4.478408992743607,6.74143604375422,r07_reserve_fast
59,5,150782,2072576,5.501140719714555,8.571006298065186,r07_reserve_fast
60,1,888789,2068520,1.0,0.0,prescribed_single_reference
60,2,441525,2746508,2.012998131476134,15.614923467859626,r07_reserve_fast
60,3,295983,3159296,3.0028380008311286,17.66183844767511,r07_reserve_fast
60,4,223107,3960200,3.9836894404926784,17.400607381016016,r07_reserve_fast
