case,cores,arm,makespan,bytes,reference,speedup,slots,official_calls,cache_hits,solve_seconds,replay_seconds,base_makespan,candidate_seconds
37,2,fast,105374,204800,210001,1.992910964754114,12,9,3,1.0280357841402292,0.09741068817675114,105374,0.06461737491190434
37,3,fast,74038,573440,210001,2.836394824279424,12,9,3,1.3921851720660925,0.1065050158649683,74038,0.07115276344120502
37,4,fast,53320,614400,210001,3.938503375843961,12,8,4,1.0438692457973957,0.10738551057875156,53320,0.08239369094371796
37,5,fast,43013,942080,210001,4.882268151489085,12,9,3,1.6657504886388779,0.12141024507582188,43013,0.08576075732707977
38,2,fast,674500,6790656,1364555,2.0230615270570795,12,11,1,18.63954327069223,1.7825062237679958,674500,0.688807524740696
38,3,fast,449590,8107008,1364555,3.035109766676305,12,11,1,23.732132580131292,2.4827526081353426,449590,1.4940191637724638
38,4,fast,338182,8954880,1364555,4.034972293025649,12,11,1,20.884422726929188,1.575295740738511,338182,1.1600120943039656
38,5,fast,275278,9592320,1364555,4.957007098278831,12,11,1,29.92423384822905,2.6732407342642546,275278,2.0274255853146315
39,2,fast,708430,9166848,1435262,2.025975749191875,12,10,2,19.44354172050953,1.4167315270751715,708430,1.1606624014675617
39,3,fast,478013,11911168,1435262,3.002558507823009,12,10,2,23.556868094950914,1.405812667682767,478013,1.594261759892106
39,4,fast,368961,14536704,1435262,3.8900100552632932,12,9,3,18.896321261301637,1.346942463889718,368961,1.040776390582323
39,5,fast,338925,14536704,1435262,4.23474810061223,12,9,3,19.361292047426105,1.3271882440894842,347811,1.1030626650899649
40,2,fast,134642,1227916,253454,1.882428959759956,12,12,0,8.140431182458997,0.97196932323277,134642,0.3962983638048172
40,3,fast,105492,1985768,253454,2.402589769840367,12,12,0,11.987743308767676,0.5679444912821054,105492,0.8456150591373444
40,4,fast,89539,1836692,253454,2.8306547984677066,12,12,0,9.287508610635996,0.5261808875948191,89539,0.5188106801360846
40,5,fast,78938,1915296,253454,3.2107983480706377,12,12,0,9.721396204084158,0.5338726546615362,78938,0.5188159756362438
41,2,fast,2990398,33669120,6003957,2.0077451228899967,12,11,1,171.85781003162265,14.8448597304523,2990398,10.996698800474405
41,3,fast,1991911,34851840,6003957,3.0141693077652567,12,11,1,187.7875020969659,13.972283154726028,1991911,11.904640132561326
41,4,fast,1490603,39164928,6003957,4.027871270888358,12,10,2,170.30987228639424,12.707669826224446,1490603,13.676113924011588
41,5,fast,1196379,40630272,6003957,5.018440644645217,12,11,1,188.15381931327283,13.538758104667068,1196379,17.835095454007387
42,2,fast,840111,7262496,1686740,2.007758498579354,12,11,1,13.217795379459858,1.0419590454548597,840111,0.6567307654768229
42,3,fast,570685,8474176,1686740,2.9556410278875385,12,11,1,19.12471440806985,1.8951991647481918,570685,0.7597690653055906
42,4,fast,430510,8605536,1686740,3.918004227544076,12,11,1,20.85206768475473,1.103449096903205,430510,0.9246769603341818
42,5,fast,350713,9936736,1686740,4.809459586613555,12,11,1,17.277223965153098,1.0781795512884855,350713,1.0018456801772118
43,2,fast,349881,3210754,677656,1.9368185182962208,12,12,0,75.8350939322263,4.561789220198989,349911,4.471310360357165
43,3,fast,250900,4852554,677656,2.700900757273814,12,12,0,68.555798150599,4.970253327861428,251335,3.8246578723192215
43,4,fast,207895,5894554,677656,3.2596070131556796,12,12,0,46.50757412612438,5.105425393208861,208612,3.0247681457549334
43,5,fast,199041,6609206,677656,3.404605081365146,12,12,0,53.094647251069546,4.6111542247235775,199496,2.594412535429001
44,2,fast,54510,886880,154407,2.8326362135388004,12,11,1,2.9723216481506824,0.23038841225206852,55201,0.08075813390314579
44,3,fast,44484,891584,154407,3.47106824925816,12,11,1,2.9898486342281103,0.18736174143850803,44484,0.0932845026254654
44,4,fast,49989,1389344,154407,3.0888195402988656,12,11,1,3.1527851223945618,0.1883953120559454,50546,0.10269907675683498
44,5,fast,43028,655488,154407,3.588523751975458,12,11,1,3.6727581806480885,0.18341819941997528,43028,0.11100968718528748
45,2,fast,63059,0,125614,1.99200748505368,12,10,2,2.0216968040913343,0.14207828231155872,63059,0.10126664862036705
45,3,fast,42601,0,125614,2.94861622966597,12,10,2,2.006628569215536,0.1404901947826147,42601,0.1104607991874218
45,4,fast,31878,0,125614,3.940460505677897,12,10,2,1.9348593726754189,0.14794065989553928,31878,0.11693730391561985
45,5,fast,26164,0,125614,4.801024308209754,12,10,2,1.9875998795032501,0.1430362667888403,26164,0.1318740826100111
46,2,fast,112410,942688,276455,2.4593452539809624,12,10,2,1.7061156202107668,0.1270353328436613,112410,0.06042242981493473
46,3,fast,96500,2958528,276455,2.864818652849741,12,10,2,2.199389426037669,0.15180149860680103,97157,0.07023722119629383
46,4,fast,71871,2098976,276455,3.8465445033462733,12,10,2,2.2518298402428627,0.14397407695651054,71871,0.07157600484788418
46,5,fast,77698,2660736,276455,3.558070992818348,12,10,2,3.103151235729456,0.2785144839435816,77698,0.07823468185961246
47,2,fast,197413,1264006,326508,1.6539336315237598,12,12,0,148.41842889599502,8.309038359671831,197609,8.377636410295963
47,3,fast,156690,1857324,326508,2.0837832663220373,12,12,0,160.56219239346683,10.125205285847187,157138,10.280181735754013
47,4,fast,143256,2256146,326508,2.279192494555202,12,12,0,168.56506354361773,10.126665491610765,143436,10.23649919591844
47,5,fast,135565,2575320,326508,2.4084977685980893,12,12,0,99.80306493490934,4.820173094049096,135565,7.615796376019716
48,2,fast,150049,467846,222220,1.4809828789262174,12,12,0,4.204005127772689,0.26982743479311466,150049,0.2427811101078987
48,3,fast,114626,1177612,222220,1.9386526616997888,12,12,0,11.781740931794047,0.33192807994782925,114626,0.43378239311277866
48,4,fast,114384,1270930,222220,1.9427542313610295,12,12,0,7.734792938455939,0.3829827681183815,114384,0.2694355696439743
48,5,fast,101641,1273560,222220,2.1863224486181756,12,12,0,10.058911575004458,0.3478925656527281,101731,0.33620460703969
49,2,fast,126174,1027062,196276,1.5555978252254823,12,12,0,12.780973318964243,0.8380208760499954,126174,0.6498666107654572
49,3,fast,83711,2408560,196276,2.344685883575635,12,12,0,17.394454652443528,1.113614782691002,83711,0.6996546778827906
49,4,fast,75814,2607184,196276,2.5889149761257815,12,12,0,20.19832193106413,1.1178894992917776,75861,1.3724039122462273
49,5,fast,76846,2907980,196276,2.554147255550061,12,12,0,21.087429605424404,1.1375869531184435,76923,0.8677594736218452
50,2,fast,87435,1022694,149690,1.712014639446446,12,12,0,18.27475124783814,1.01466353982687,87435,0.7136046998202801
50,3,fast,60421,1831624,149690,2.477449893249036,12,12,0,18.05866010673344,1.2947540245950222,60480,0.8651435561478138
50,4,fast,57912,2053712,149690,2.584783809918497,12,12,0,23.18966218456626,1.9301109872758389,58032,1.0207286588847637
50,5,fast,57017,1337182,149690,2.625357349562411,12,12,0,19.212145920842886,0.9605616349726915,57017,0.9198910538107157
51,2,fast,319230,394084,607628,1.903417598596623,12,11,1,2.993237789720297,0.1849189940840006,319230,0.13968298584222794
51,3,fast,228581,328736,607628,2.658261185312865,12,11,1,3.9497759081423283,0.23973626270890236,228581,0.14931265823543072
51,4,fast,183794,591064,607628,3.306027400241575,12,11,1,4.610649559646845,0.22771621868014336,183794,0.19755895622074604
51,5,fast,170016,427456,607628,3.5739459815546772,12,11,1,5.360598903149366,0.2582248989492655,170016,0.18396121636033058
52,2,fast,90903,102912,180301,1.9834438907406797,12,11,1,1.6844215914607048,0.12817011401057243,90903,0.06765296868979931
52,3,fast,60160,181248,180301,2.99702460106383,12,11,1,1.7718473579734564,0.13321872055530548,60160,0.08146034367382526
52,4,fast,45777,254976,180301,3.9386809970072307,12,11,1,1.8097322043031454,0.13753202930092812,45777,0.09076173789799213
52,5,fast,37846,333312,180301,4.76407017914707,12,11,1,1.9270708803087473,0.14479432813823223,37846,0.09957782365381718
53,2,fast,723016,4631434,1472686,2.036865020967724,12,11,1,102.26800328120589,9.065218541771173,723446,5.630633257329464
53,3,fast,495435,6090084,1472686,2.972511025664315,12,12,0,117.45373841933906,9.153102291747928,497062,6.887813353911042
53,4,fast,394500,8679750,1472686,3.733044359949303,12,12,0,95.55691774003208,4.528674611821771,396378,6.615492206066847
53,5,fast,357068,9823040,1472686,4.124385271152834,12,12,0,66.7702692952007,3.724476410076022,357068,5.565440759062767
54,2,fast,465795,2620302,815051,1.7498062452366385,12,12,0,199.1790454275906,14.266851127147675,465795,10.33720619417727
54,3,fast,359793,4112418,815051,2.2653331221007633,12,12,0,201.92854881472886,13.074970519170165,363470,10.484965801239014
54,4,fast,274779,7279264,815051,2.9662055688389577,12,12,0,212.53358702734113,9.288128836080432,274823,12.460234191268682
54,5,fast,257061,8197794,815051,3.1706521020302576,12,12,0,131.54480755142868,6.265543453395367,257061,10.286340368911624
55,2,fast,52737,16384,118835,2.253351536871646,12,11,1,2.027872696518898,0.1360824890434742,53535,0.08407597243785858
55,3,fast,35943,74240,118835,3.30620705005147,12,11,1,2.2784986346960068,0.15651950798928738,36456,0.08204440772533417
55,4,fast,31281,115712,118835,3.7989514401713502,12,11,1,2.327072389423847,0.13842765800654888,31310,0.08961085230112076
55,5,fast,24831,173568,118835,4.785751681366034,12,11,1,1.9617202151566744,0.14459268003702164,24831,0.0948698241263628
56,2,fast,172836,3326338,277285,1.6043243305792774,12,12,0,48.77877160720527,3.4734587520360947,172836,1.4133588168770075
56,3,fast,122295,3278908,277285,2.2673453534486283,12,12,0,38.11667541228235,2.4745134320110083,122295,1.6461616829037666
56,4,fast,115731,3685886,277285,2.3959440426506293,12,12,0,40.09548461437225,2.562058687210083,115855,1.813693031668663
56,5,fast,117134,4124830,277285,2.3672460600679566,12,12,0,49.041568430140615,2.766573391854763,117301,1.9378243200480938
57,2,fast,29703,22304,59726,2.0107733225600106,12,11,1,1.2730660550296307,0.10635123588144779,29703,0.05133336968719959
57,3,fast,20565,14112,59726,2.9042548018477996,12,11,1,1.3773076795041561,0.09464125148952007,20565,0.05750972405076027
57,4,fast,16345,28224,59726,3.654083817681248,12,11,1,1.3476041946560144,0.09894514083862305,16345,0.07245553284883499
57,5,fast,14028,14400,59726,4.257627601938979,12,12,0,1.7626493219286203,0.08713360130786896,14028,0.07129643484950066
58,2,fast,2266495,29548544,4539717,2.0029680189014316,12,10,2,197.44167825579643,16.683623816818,2266495,11.277914321050048
