case,cores,makespan,added,single,no_l2_makespan,no_l2_added,cache_hit_rate,same_plan_cache_ratio
83,3,290539,6672576,1057993,290539,6672576,0.24996330975373507,1.0
84,3,831104,0,2507412,831104,0,0.0,1.0
85,3,1264447,31684812,3187899,1276027,31684812,0.20041627636841708,1.0091581537225365
86,3,61666,2190284,118403,63144,2190284,0.18260977302672335,1.0239678266792074
87,3,1372337,11036160,3974071,1374975,11036160,0.26172484984232236,1.0019222683641118
88,3,118465,1620500,243623,121527,1620500,0.2169492476569238,1.0258472966699026
89,3,225282,3951872,693092,225282,3951872,0.125018340098792,1.0
90,3,308906,5730048,1178363,335455,5730048,0.4892127451498652,1.0859452390047457
91,3,3029129,60113508,9186769,3042680,60113508,0.4441209128989158,1.0044735631925876
92,3,1337343,20263104,4815554,1336815,20263104,0.13559404271217199,0.9996051873004906
93,3,25103,16384,74205,25103,16384,0.0,1.0
94,3,30976,212544,94892,30976,212544,0.24341397220532499,1.0
95,3,677299,703104,2084853,677299,703104,0.0,1.0
96,3,27764,66240,84194,27764,66240,0.03958047016274864,1.0
97,3,3444086,59834368,11491509,3444086,59834368,0.08789954337899543,1.0
98,3,64372,418684,177430,64378,418684,0.1725123976554244,1.0000932082271796
99,3,535436,7561216,1622999,536907,7561216,0.44794968681053937,1.0027472937942163
100,3,57811,72192,151223,57811,72192,0.01712718271224995,1.0
1,4,58984,3456,233110,58984,3456,0.0,1.0
2,4,68574,377856,261945,68574,377856,0.0,1.0
3,4,210143,7341394,602212,217719,7341394,0.30054447149270624,1.036051641025397
4,4,103972,331776,392357,103972,331776,0.0,1.0
5,4,48865,1502642,95618,52014,1502642,0.2987086130013318,1.0644428527575975
6,4,22211,309062,82837,22211,309062,0.18360631274538558,1.0
7,4,254398,82944,1012562,254398,82944,0.0,1.0
8,4,100137,1033728,487605,100137,1033728,0.0,1.0
9,4,60949,838982,153261,62725,838982,0.18672961188959317,1.0291391163103578
10,4,24531,1005300,86969,25602,1005300,0.34003556439642246,1.0436590436590436
11,4,46880,540672,184697,46880,540672,0.0,1.0
12,4,13549,39168,59088,13549,39168,0.074853228962818,1.0
13,4,66946,24576,263949,66982,24576,0.006,1.0005377468407373
14,4,4441943,95588760,17698626,4446784,95588760,0.1574084648020292,1.001089838388291
15,4,46137,231168,177362,46552,231168,0.11702594899834177,1.0089949498233521
16,4,2240364,605676,7715523,2244367,605676,0.5964281317421587,1.001786763222405
17,4,37813,255744,162810,38607,255744,0.26122382918891035,1.0209980694470155
18,4,253273,4320256,1004367,254107,4320256,0.5510118938998736,1.0032928894907867
19,4,21120,352868,81144,21120,352868,0.17538247077878122,1.0
20,4,133704,0,532746,133704,0,0.0,1.0
21,4,1550324,4608000,6567937,1550324,4608000,0.0,1.0
22,4,14245,13824,56780,14245,13824,0.060801182245210326,1.0
23,4,28698,547992,122614,28698,547992,0.19921317712161168,1.0
24,4,744432,595068,2555343,748435,595068,0.5988097339655988,1.0053772540675308
25,4,1217444,82944,4863026,1217444,82944,0.0,1.0
26,4,30464,539828,99203,31181,539828,0.21155840482700103,1.0235359768907564
27,4,559196,1843200,2363952,559196,1843200,0.0,1.0
28,4,10166935,79760256,43836040,10367033,79760256,0.5483286373746536,1.0196812510358333
29,4,9857,65600,37555,9857,65600,0.20245906703738029,1.0
30,4,697321,6002688,2808034,697351,6002688,0.7013660202463715,1.0000430217934064
31,4,358663,7823840,1414369,360157,7823840,0.4458673348158161,1.0041654700930958
32,4,10285,95460,41443,10285,95460,0.037321901399571304,1.0
33,4,441813,7131744,1774196,441987,7131744,0.35901619714374666,1.0003938317795085
34,4,196762,2951680,842996,202711,2951680,0.3908752549857942,1.0302344964983077
35,4,62988,1502522,169571,63882,1502522,0.29060586504755237,1.0141931796532673
36,4,233584,3456,931510,233584,3456,0.0,1.0
37,4,53320,614400,210001,53320,614400,0.0,1.0
38,4,337208,8947200,1364555,337826,8947200,0.3384203283577361,1.0018326967331737
39,4,355737,14848000,1435262,369254,14848000,0.5736400774027091,1.037997172068129
40,4,87298,1878644,253454,89275,1878644,0.2692013717125206,1.0226465669316593
41,4,1487676,39164928,6003957,1490603,39164928,0.34380222841225627,1.001967498299361
42,4,424220,8639328,1686740,429998,8639328,0.5264871030005264,1.0136202913582575
43,4,204016,5891482,677656,207784,5891482,0.3670643533349859,1.0184691396753196
44,4,34177,589088,154407,38436,589088,0.2701541459957477,1.1246159698042544
45,4,31871,0,125614,31871,0,0.0,1.0
46,4,63321,2347808,276455,76947,2347808,0.3152295075440901,1.215189273700668
47,4,142139,2257042,326508,142700,2257042,0.2813333272559038,1.0039468407685435
48,4,114072,1270930,222220,114384,1270930,0.19695770308722535,1.0027351146644226
49,4,75141,2607184,196276,75814,2607184,0.11894729747944467,1.008956495122503
50,4,56820,2040400,149690,57895,2040400,0.15272430171931559,1.0189193945793735
51,4,179791,591064,607628,183794,591064,0.5997153487993819,1.0222647407267327
