case,limit_seconds,elapsed_seconds,stage,remote_host,command,output_dir,status
case_077,600,631.282447599981,candidate_eval,jishishan-remote,"cmd.exe /c ""cd /d C:\Users\jishishan\codex_runs\Allin2_925v2\npu_schedule_project && C:\Users\jishishan\.conda\envs\yolonew\python.exe -u src\run_experiments.py --mode full --problems 1 --cores 5 --cases case_077 --workers 1 --budget standard --output C:\Users\jishishan\codex_runs\Allin2_925v2\results_p1_n5_full\case_077 1> C:\Users\jishishan\codex_runs\Allin2_925v2\results_p1_n5_full\case_077.log 2>&1""",C:\Users\jishishan\codex_runs\Allin2_925v2\results_p1_n5_full\case_077,completed_after_target
case_050,600,607.969520099752,candidate_eval,jishishan-remote,"cmd.exe /c ""cd /d C:\Users\jishishan\codex_runs\Allin2_925v2\npu_schedule_project && C:\Users\jishishan\.conda\envs\yolonew\python.exe -u src\run_experiments.py --mode full --problems 1 --cores 5 --cases case_050 --workers 1 --budget standard --output C:\Users\jishishan\codex_runs\Allin2_925v2\results_p1_n5_full\case_050 1> C:\Users\jishishan\codex_runs\Allin2_925v2\results_p1_n5_full\case_050.log 2>&1""",C:\Users\jishishan\codex_runs\Allin2_925v2\results_p1_n5_full\case_050,completed_after_target
case_034,600,1285.60389549989,candidate_eval,jishishan-remote,"cmd.exe /c ""cd /d C:\Users\jishishan\codex_runs\Allin2_925v2\npu_schedule_project && C:\Users\jishishan\.conda\envs\yolonew\python.exe -u src\run_experiments.py --mode full --problems 1 --cores 5 --cases case_034 --workers 1 --budget standard --output C:\Users\jishishan\codex_runs\Allin2_925v2\results_p1_n5_full\case_034 1> C:\Users\jishishan\codex_runs\Allin2_925v2\results_p1_n5_full\case_034.log 2>&1""",C:\Users\jishishan\codex_runs\Allin2_925v2\results_p1_n5_full\case_034,completed_after_target
case_049,600,690.408636400127,candidate_eval,jishishan-remote,"cmd.exe /c ""cd /d C:\Users\jishishan\codex_runs\Allin2_925v2\npu_schedule_project && C:\Users\jishishan\.conda\envs\yolonew\python.exe -u src\run_experiments.py --mode full --problems 1 --cores 5 --cases case_049 --workers 1 --budget standard --output C:\Users\jishishan\codex_runs\Allin2_925v2\results_p1_n5_full\case_049 1> C:\Users\jishishan\codex_runs\Allin2_925v2\results_p1_n5_full\case_049.log 2>&1""",C:\Users\jishishan\codex_runs\Allin2_925v2\results_p1_n5_full\case_049,completed_after_target
case_074,600,774.873970299901,candidate_eval,jishishan-remote,"cmd.exe /c ""cd /d C:\Users\jishishan\codex_runs\Allin2_925v2\npu_schedule_project && C:\Users\jishishan\.conda\envs\yolonew\python.exe -u src\run_experiments.py --mode full --problems 1 --cores 5 --cases case_074 --workers 1 --budget standard --output C:\Users\jishishan\codex_runs\Allin2_925v2\results_p1_n5_full\case_074 1> C:\Users\jishishan\codex_runs\Allin2_925v2\results_p1_n5_full\case_074.log 2>&1""",C:\Users\jishishan\codex_runs\Allin2_925v2\results_p1_n5_full\case_074,completed_after_target
case_033,600,719.838180200255,candidate_eval,jishishan-remote,"cmd.exe /c ""cd /d C:\Users\jishishan\codex_runs\Allin2_925v2\npu_schedule_project && C:\Users\jishishan\.conda\envs\yolonew\python.exe -u src\run_experiments.py --mode full --problems 1 --cores 5 --cases case_033 --workers 1 --budget standard --output C:\Users\jishishan\codex_runs\Allin2_925v2\results_p1_n5_full\case_033 1> C:\Users\jishishan\codex_runs\Allin2_925v2\results_p1_n5_full\case_033.log 2>&1""",C:\Users\jishishan\codex_runs\Allin2_925v2\results_p1_n5_full\case_033,completed_after_target
case_035,600,665.062163199589,candidate_eval,jishishan-remote,"cmd.exe /c ""cd /d C:\Users\jishishan\codex_runs\Allin2_925v2\npu_schedule_project && C:\Users\jishishan\.conda\envs\yolonew\python.exe -u src\run_experiments.py --mode full --problems 1 --cores 5 --cases case_035 --workers 1 --budget standard --output C:\Users\jishishan\codex_runs\Allin2_925v2\results_p1_n5_full\case_035 1> C:\Users\jishishan\codex_runs\Allin2_925v2\results_p1_n5_full\case_035.log 2>&1""",C:\Users\jishishan\codex_runs\Allin2_925v2\results_p1_n5_full\case_035,completed_after_target
case_018,600,758.593246799719,candidate_eval,jishishan-remote,"cmd.exe /c ""cd /d C:\Users\jishishan\codex_runs\Allin2_925v2\npu_schedule_project && C:\Users\jishishan\.conda\envs\yolonew\python.exe -u src\run_experiments.py --mode full --problems 1 --cores 5 --cases case_018 --workers 1 --budget standard --output C:\Users\jishishan\codex_runs\Allin2_925v2\results_p1_n5_full\case_018 1> C:\Users\jishishan\codex_runs\Allin2_925v2\results_p1_n5_full\case_018.log 2>&1""",C:\Users\jishishan\codex_runs\Allin2_925v2\results_p1_n5_full\case_018,completed_after_target
case_040,600,710.088898499846,candidate_eval,jishishan-remote,"cmd.exe /c ""cd /d C:\Users\jishishan\codex_runs\Allin2_925v2\npu_schedule_project && C:\Users\jishishan\.conda\envs\yolonew\python.exe -u src\run_experiments.py --mode full --problems 1 --cores 5 --cases case_040 --workers 1 --budget standard --output C:\Users\jishishan\codex_runs\Allin2_925v2\results_p1_n5_full\case_040 1> C:\Users\jishishan\codex_runs\Allin2_925v2\results_p1_n5_full\case_040.log 2>&1""",C:\Users\jishishan\codex_runs\Allin2_925v2\results_p1_n5_full\case_040,completed_after_target
case_088,600,879.981803199858,candidate_eval,jishishan-remote,"cmd.exe /c ""cd /d C:\Users\jishishan\codex_runs\Allin2_925v2\npu_schedule_project && C:\Users\jishishan\.conda\envs\yolonew\python.exe -u src\run_experiments.py --mode full --problems 1 --cores 5 --cases case_088 --workers 1 --budget standard --output C:\Users\jishishan\codex_runs\Allin2_925v2\results_p1_n5_full\case_088 1> C:\Users\jishishan\codex_runs\Allin2_925v2\results_p1_n5_full\case_088.log 2>&1""",C:\Users\jishishan\codex_runs\Allin2_925v2\results_p1_n5_full\case_088,completed_after_target
