case,noncopy_ops,components,max_depth,largest_component_node_fraction,largest_component_work_fraction,average_point_loss_contribution,core2_loss_contribution,core3_loss_contribution,core4_loss_contribution,core5_loss_contribution,gates
case_091,31554,513,123,0.004658680357482411,0.006338765442868494,0.00019323968835053163,8.23627331826815e-05,0.00019477508105603559,0.00013065842654091941,0.00036516251262249,eligible
case_023,1011,43,30,0.12561819980217606,0.07138605442176871,0.00018356568685530704,0.0,0.0,0.0,0.0007342627474212282,eligible
case_041,16594,494,48,0.010967819693865252,0.004880076268523914,6.962882740636278e-05,4.98808714410659e-05,-1.2256460564552541e-06,0.0,0.00022986008424084048,eligible
case_076,32528,809,12,0.003750614854894245,0.003789071083686208,6.63235196547618e-05,1.3095563129166266e-05,4.119100463361836e-05,0.0001251748710392242,8.583263981703837e-05,eligible
case_098,1365,27,50,0.28498168498168497,0.5482879638109169,5.5220243689553864e-05,0.0017821531720175466,-0.002142738046092134,0.0008795519914253269,-0.0002980861425925241,dominant_component
case_024,5959,1,807,1.0,1.0,3.663705680343186e-05,0.0001689007078537208,-0.0008002531676048874,0.00015162708996152796,0.0006262735970033661,insufficient_independent_components
case_051,1416,1,191,1.0,1.0,3.093134851787084e-05,0.00012961519678754253,-0.0008233565026819867,0.00016364632443344852,0.000653820375532479,insufficient_independent_components
case_099,6296,202,28,0.01858322744599746,0.0098528095549689,1.1829130256808542e-05,9.199105640952166e-05,0.00011543357183133817,7.115211917093412e-05,-0.00023126022638455978,eligible
case_074,3609,73,38,0.07453588251593239,0.03294552784273819,1.009947449180038e-05,0.00011948123687043122,0.00019904630477286746,-0.0004133930640599548,0.00013526342038385763,eligible
case_001,600,200,2,0.005,0.005,0.0,0.0,0.0,0.0,0.0,eligible
case_004,777,111,5,0.009009009009009009,0.009009009009009009,0.0,0.0,0.0,0.0,0.0,eligible
case_007,3885,555,5,0.0018018018018018018,0.0018018018018018018,0.0,0.0,0.0,0.0,0.0,eligible
case_008,864,108,7,0.009259259259259259,0.009259259259259259,0.0,0.0,0.0,0.0,0.0,eligible
case_013,1968,246,3,0.0040650406504065045,0.0040650406504065045,0.0,0.0,0.0,0.0,0.0,eligible
case_020,7008,288,23,0.003995433789954338,0.003995433789954338,0.0,0.0,0.0,0.0,0.0,eligible
case_025,18662,2666,5,0.00037509377344336085,0.00037509377344336085,0.0,0.0,0.0,0.0,0.0,eligible
case_029,861,21,11,0.047619047619047616,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,eligible
case_036,2400,800,2,0.00125,0.00125,0.0,0.0,0.0,0.0,0.0,eligible
case_037,780,20,5,0.05,0.05,0.0,0.0,0.0,0.0,0.0,eligible
case_045,1651,68,23,0.016959418534221685,0.016959418534221685,0.0,0.0,0.0,0.0,0.0,eligible
case_052,1008,52,16,0.11904761904761904,0.03673594095410404,0.0,0.0,0.0,0.0,0.0,eligible
case_060,5281,89,40,0.03465252793031623,0.027346744287223685,0.0,0.0,0.0,0.0,0.0,eligible
case_070,1191,38,34,0.23929471032745592,0.0950638730960904,0.0,0.0,0.0,0.0,0.0,eligible
case_081,3485,85,11,0.011764705882352941,0.011764705882352941,0.0,0.0,0.0,0.0,0.0,eligible
case_089,5120,40,123,0.025,0.025,0.0,0.0,0.0,0.0,0.0,eligible
case_093,552,69,3,0.014492753623188406,0.014492753623188406,0.0,0.0,0.0,0.0,0.0,eligible
case_095,3696,462,7,0.0021645021645021645,0.0021645021645021645,-4.936493400892194e-07,-1.9745973603568777e-06,0.0,0.0,0.0,eligible
case_084,8616,1077,7,0.0009285051067780873,0.0009285051067780873,-3.847207141587927e-06,-1.1659145277709282e-05,-3.729683288642427e-06,0.0,0.0,eligible
