case,cores,single_makespan,baseline_makespan,makespan,external_makespan,baseline_speedup,speedup,external_speedup,baseline_added_bytes,added_bytes,external_added_bytes,spill_added_bytes,partition_added_bytes,mean_speedup_loss_contribution,gate,tasks,used_cores,solve_seconds,validation_seconds,local_prepare_seconds,best_candidate,noncopy_ops,components,max_depth,largest_component_node_fraction,largest_component_work_fraction
case_047,4,326508,225654,225654,192435,1.446940891807812,1.446940891807812,1.6967183724374464,5078720,5078720,2487908,0,5078720,0.0024977748062963447,insufficient_independent_components,861,4,83.36155807971954,14.092398023232818,0,directed_split,13710,1,459,1.0,1.0
case_047,5,326508,222583,222583,181515,1.4669044805757852,1.4669044805757852,1.798793488141476,5064318,5064318,2487908,0,5064318,0.0033188900756569084,insufficient_independent_components,859,5,75.33480990864336,21.081606531515718,0,directed_split,13710,1,459,1.0,1.0
case_048,2,222220,197496,197496,175656,1.1251873455664925,1.1251873455664925,1.265086305050781,1716280,1716280,724702,0,1716280,0.0013989895948428855,insufficient_independent_components,216,2,4.5115307085216045,0.7367089558392763,0,grain_0.25,1728,1,368,1.0,1.0
case_048,3,222220,197613,197613,150457,1.1245211600451388,1.1245211600451388,1.4769668410243457,1716280,1716280,1110490,0,1716280,0.0035244568097920694,insufficient_independent_components,216,3,4.3842516131699085,0.7178936563432217,0,grain_0.25,1728,1,368,1.0,1.0
case_048,4,222220,197613,197613,150287,1.1245211600451388,1.1245211600451388,1.4786375401731353,1716280,1716280,1110490,0,1716280,0.003541163801279965,insufficient_independent_components,216,3,4.496282259002328,0.745831947773695,0,grain_0.25,1728,1,368,1.0,1.0
case_048,5,222220,197613,197613,150430,1.1245211600451388,1.1245211600451388,1.4772319351193246,1716280,1716280,1110490,0,1716280,0.003527107750741858,insufficient_independent_components,216,3,5.08379777148366,0.7374211512506008,0,grain_0.25,1728,1,368,1.0,1.0
case_049,2,196276,156968,156968,147135,1.250420467866062,1.250420467866062,1.3339857953580045,2635492,2635492,1425172,0,2635492,0.0008356532749194257,dominant_component,136,2,19.86666169203818,2.2684254348278046,0,directed_split,4303,11,185,0.918429003021148,0.8423976920611176
case_049,3,196276,132866,132866,122602,1.4772477533755815,1.4772477533755815,1.6009200502438785,4012736,4012736,1425172,0,4012736,0.0012367229686829706,dominant_component,538,3,18.73853379674256,4.429554767906666,0,grain_0.25,4303,11,185,0.918429003021148,0.8423976920611176
case_049,4,196276,123251,123251,114723,1.5924901217840017,1.5924901217840017,1.7108687882987719,4012736,4012736,1425172,0,4012736,0.0011837866651477013,dominant_component,538,4,21.32655674032867,4.810836523771286,0,grain_0.25,4303,11,185,0.918429003021148,0.8423976920611176
case_049,5,196276,117489,117489,111533,1.670590438253794,1.670590438253794,1.7598020316856895,4013760,4013760,1425172,0,4013760,0.0008921159343189555,dominant_component,539,5,23.08636245690286,5.326727094128728,0,directed_split,4303,11,185,0.918429003021148,0.8423976920611176
case_050,2,149690,115543,115543,106716,1.2955349956293327,1.2955349956293327,1.4026950035608532,2598688,2598688,1078840,0,2598688,0.0010716000793152048,dominant_component,287,2,17.976109620183706,3.37965795584023,0,directed_split,4555,23,185,0.8805708013172339,0.7062950476204528
