case,cores,method,makespan,baseline_makespan,speedup,added_copy_bytes,plan_path,plan_sha256,evidence
case_020,5,component_lpt,107650,532746,4.948871342313051,0,solutions/5cores/case_020_multicore_res.json,fc7abc812efb1d2acfda6e0d090e318fc9b6d9bcb333b8ebddbbad6f44150df0,delivered_method_reconstruction_and_replay
case_021,1,official_singlecore,6567937,6567937,1.0,4501504,solutions/1cores/case_021_multicore_res.json,f348d8199a95196945fe11a61f21e5764ab4819e1e2976958b4ced376a8e9830,new_full_search_and_replay
case_021,2,component_batches,3109260,6567937,2.11237947292925,9113600,solutions/2cores/case_021_multicore_res.json,9e1fce9b56d3ae887bbb19a32a09c924cea9bff017766aab1e82d4f0ea61a792,new_full_search_and_replay
case_021,3,component_batches_512,2095636,6567937,3.1341020100819037,9984000,solutions/3cores/case_021_multicore_res.json,6195687e9205dd43b7cc978f7ef27e85ecac7560dcd196e553f00cbd24ad065b,new_full_search_and_replay
case_021,4,component_round_robin,1550324,6567937,4.236493145948847,4608000,solutions/4cores/case_021_multicore_res.json,8c4ea95a8e02fde840ef35267e9b04b6d7cd59135c429739162e27b861cfe8af,new_full_search_and_replay
case_021,5,component_group8,1243902,6567937,5.280108079253832,7372800,solutions/5cores/case_021_multicore_res.json,a563a07b7b9080459fcc4ca4589a14fc88ecc987f2901c9459322d8c76ae1503,delivered_method_reconstruction_and_replay
case_022,1,official_singlecore,56780,56780,1.0,0,solutions/1cores/case_022_multicore_res.json,bdc9c153727b9f7ea40409a9ffa15959f9bc5fe680e565eb6da09692918d3411,new_full_search_and_replay
case_022,2,component_pipe_balance,28303,56780,2.006147758188178,6912,solutions/2cores/case_022_multicore_res.json,c0c7ec34ad920369a6dc2a9b99125dcc9d68289403327bc66f50ae0b11a3d25e,new_full_search_and_replay
case_022,3,component_lpt,18978,56780,2.9918853409210664,13824,solutions/3cores/case_022_multicore_res.json,28645d8916f4e5a3ada9d471126f6c3c3fc2048953ec6f77cc913ba1af0ae43c,new_full_search_and_replay
case_022,4,component_lpt,14336,56780,3.960658482142857,20736,solutions/4cores/case_022_multicore_res.json,c3eadd26ec5bf91f0ada14028de2653676de9d8601beb8ee3d8217ee2fde4cd6,new_full_search_and_replay
case_022,5,component_lpt,11603,56780,4.893562009825045,20736,solutions/5cores/case_022_multicore_res.json,9cfdc34a8dee5fe742aa466b4ab36f230ad77cca2d66a0d8d158428a901b0503,delivered_method_reconstruction_and_replay
case_023,1,official_singlecore,122614,122614,1.0,0,solutions/1cores/case_023_multicore_res.json,aa6e813822e96d6a1e60ea550fc498a806911951f3abc724b7d89438f2f8be11,new_full_search_and_replay
