case,cores,config,makespan,added_copy_bytes,single_makespan,speedup,source,evaluation_sha256
case_013,3,routes_gate_reuse,88351,16384,263949,2.98750438591527,图表/runs/20260924-A-q1-event-ranking-full100/case_013_3cores_seed0_routes_gate_reuse,a382ded73e3fa88fc5ce69fb4edbc58a325f506d35da3ba54b1a4ddacee461ad
case_013,4,routes_gate_reuse,66982,24576,263949,3.9405959810098237,图表/runs/20260924-A-q1-event-ranking-full100/case_013_4cores_seed0_routes_gate_reuse,db4e8e7e608d11bb248e617471a51ab6b8f97878d010ce4cb78ccc8129a76ca0
case_013,5,routes_gate_reuse,54363,32768,263949,4.855305998565201,图表/runs/20260924-A-q1-event-ranking-full100/case_013_5cores_seed0_routes_gate_reuse,d74adaa0ad1443d8680dfaaf09d0277a1cedfb1c45cfa81eb40d4250f56c5554
case_014,1,fixed_single,17698626,71010720,17698626,1.0,图表/runs/20260924-A-q1-event-ranking-full100/single/case_014,061c5d5042b50c9f3e70dacffec5d29fca3c82032e705887a5299f20ff611199
case_014,2,routes_gate_reuse,8909568,69998520,17698626,1.9864740916731316,图表/runs/20260924-A-q1-event-ranking-full100/case_014_2cores_seed0_routes_gate_reuse,905d1b9d2b8e0231e4bf496567522ce423c30bf580dc1c87a72b5f99ba79b2d1
case_014,3,routes_gate_reuse,6002519,84088488,17698626,2.9485331075170276,图表/runs/20260924-A-q1-event-ranking-full100/case_014_3cores_seed0_routes_gate_reuse,e1c0ae2e456cef7d4253331a78523703137008f63ec734e1e5823f21605c9766
case_014,4,routes_gate_reuse,4543360,76510104,17698626,3.8954927630652203,图表/runs/20260924-A-q1-event-ranking-full100/case_014_4cores_seed0_routes_gate_reuse,9ac3f5930fffa5ed3d14b601974a376c496e2a08c05bf79325bc4249d0119b95
case_014,5,routes_gate_reuse,3694137,88763688,17698626,4.791004231840887,图表/runs/20260924-A-q1-event-ranking-full100/case_014_5cores_seed0_routes_gate_reuse,d248dec123b4f3fc04f55d39b285057041aec617bc2691f3c3035d44fc5c7a56
case_015,1,fixed_single,177362,180256,177362,1.0,图表/runs/20260924-A-q1-event-ranking-full100/single/case_015,04700574333b08440d05824bcfd80182824a45ca836c45d3d903e1501df3192e
case_015,2,routes_gate_reuse,90480,199944,177362,1.960234305923961,图表/runs/20260924-A-q1-event-ranking-full100/case_015_2cores_seed0_routes_gate_reuse,f365181bd8f46821bef9aa8c64f234092e57b6d0d59e3b62831ac4193568ac0d
