case,cores,single,makespan,speedup,added_copy_bytes,partition_added_copy_bytes,spill_added_copy_bytes,old_makespan,reference_makespan,solve_seconds,verification_seconds,host
case_049,2,196276,156968,1.250420467866062,2635492,2635492,0,156968,147135,27.900154093280435,0.15472921542823315,server
case_049,3,196276,132866,1.4772477533755815,4012736,4012736,0,132866,122602,30.327111097052693,0.20343778282403946,server
case_049,4,196276,123251,1.5924901217840017,4012736,4012736,0,123251,114723,28.95788754336536,0.1927693821489811,server
case_049,5,196276,117489,1.670590438253794,4013760,4013760,0,117489,111533,30.452363904565573,0.2078354898840189,server
case_050,2,149690,108323,1.3818856567857243,51814,51814,0,115543,106716,30.289683578535914,4.388404820114374,server
case_050,3,149690,104366,1.4342793630109423,3416202,3416202,0,104366,85788,33.073407949879766,0.21172626689076424,server
case_050,4,149690,98003,1.5274022223809476,3448972,3448972,0,98003,77332,34.35362425819039,0.18622695095837116,server
case_050,5,149690,99382,1.506208367712463,3424394,3424394,0,99382,74892,32.87405588105321,0.2012597769498825,server
case_051,2,607628,429872,1.4135091376037519,10225204,10225204,0,429872,425966,4.619681194424629,0.03940260037779808,server
case_051,3,607628,352843,1.7220916951732073,10225204,10225204,0,352843,370560,5.745700571686029,0.039465030655264854,server
case_051,4,607628,336378,1.8063844841220293,10225204,10225204,0,336378,333358,6.050490168854594,0.05216662399470806,server
case_051,5,607628,328989,1.8469553693284577,10225204,10225204,0,328989,317741,5.3841751832515,0.04583016224205494,server
case_052,2,180301,90903,1.9834438907406797,102912,102912,0,90903,90903,2.022821099963039,0.01762090006377548,local
case_052,3,180301,60160,2.99702460106383,181248,181248,0,60160,60160,2.025095700053498,0.016917999950237572,local
case_052,4,180301,45777,3.9386809970072307,254976,254976,0,45777,45777,2.112916999962181,0.020027899998240173,local
case_052,5,180301,37846,4.76407017914707,333312,333312,0,37846,37846,2.0084674999816343,0.01969960005953908,local
case_053,2,1472686,774757,1.9008360040632095,5959552,1034752,4924800,774757,770903,85.5078558512032,0.12743539921939373,server
case_053,3,1472686,509253,2.89185532534909,6480220,2921212,3559008,509253,546106,103.30022963136435,0.10930844582617283,server
case_053,4,1472686,491606,2.9956631936957643,10892964,10524324,368640,538539,492232,105.17280067875981,45.97734187915921,server
case_053,5,1472686,474708,3.102298676238867,20272004,20272004,0,474708,492699,101.16860939189792,0.45700428634881973,server
case_054,2,815051,510200,1.597512740101921,6569360,6569360,0,510200,517960,128.226392025128,0.34897278621792793,server
case_054,3,815051,402111,2.0269303749462213,6732340,6732340,0,402111,406980,116.01877906359732,0.36699733696877956,server
case_054,4,815051,362394,2.2490742120454534,11175330,11175330,0,362394,351079,132.79138424433768,0.48588843643665314,server
case_054,5,815051,333071,2.447078851055781,11208098,11208098,0,333071,319320,133.6195802204311,0.5779323428869247,server
case_055,2,118835,56902,2.0884151699413027,176664,176664,0,56902,58472,2.1885441999183968,0.020062699913978577,local
case_055,3,118835,38966,3.049710003592876,168968,168968,0,38966,42047,2.140688000014052,0.016769799985922873,local
case_055,4,118835,32118,3.699950183697615,173568,173568,0,32118,31367,2.2271205000579357,0.016849800013005733,local
case_055,5,118835,24831,4.785751681366034,280068,280068,0,24831,25570,2.2329689000034705,0.021295899990946054,local
case_056,2,277285,231882,1.1958021752443053,4095676,4095676,0,231882,217904,57.98519470356405,0.5364062078297138,server
case_056,3,277285,199699,1.3885147146455414,6006214,6006214,0,199699,185223,55.468595165759325,0.2796957679092884,server
case_056,4,277285,189615,1.462357935817314,6006214,6006214,0,189615,172573,56.15678692422807,0.3996920119971037,server
case_056,5,277285,186638,1.4856835156827655,6006214,6006214,0,186638,162534,50.68009775131941,0.26676880568265915,server
case_057,2,59726,30047,1.9877525210503544,182060,173868,8192,30047,30183,1.5133262999588624,0.014452300034463406,local
case_057,3,59726,20691,2.8865690396790877,18228,18228,0,20691,20705,1.5696903000352904,0.020103499991819263,local
case_057,4,59726,16471,3.626130775302046,32328,32328,0,16471,16485,1.49411600001622,0.013099599978886545,local
case_057,5,59726,14319,4.1711013338920315,189060,189060,0,22616,14028,1.66900330001954,0.014479300007224083,local
case_058,2,4539717,2268326,2.0013512167122363,33972224,11218944,22753280,2658985,2217447,190.995732113719,0.420383095741272,server
case_058,3,4539717,1532367,2.962552051825705,31514624,11378688,20135936,1910788,1554831,183.14055340364575,0.3506091721355915,server
case_058,4,4539717,1152464,3.9391399644587595,42893312,22167552,20725760,1624923,1154519,194.76403134875,0.3755986150354147,server
case_058,5,4539717,1002440,4.528667052392163,33316864,20054016,13262848,1524911,1004819,183.0439865346998,1.306648701429367,server
case_059,2,829473,369318,2.2459587672412393,360448,360448,0,369318,369318,16.699013905599713,0.043656663969159126,server
case_059,3,829473,254823,3.2550947128006498,4196352,3942400,253952,254823,256853,19.196732027456164,0.05590207502245903,server
case_059,4,829473,185216,4.478408992743607,1081344,1081344,0,185216,185216,17.64218478836119,0.050047632306814194,server
