case,cores,arm,makespan,bytes,reference,reference_seconds,speedup,base_makespan,base_bytes,base_plan_sha256,slots,official_calls,cache_hits,solve_seconds,replay_seconds,diagnostic_seconds,replay_equal
50,4,placement_reference,58032,2056112,149690,0.6158909592777491,2.5794389302453817,58032,2056112,5dea35797b2c1d5931879c54d6b1eeba111a110fad8efd125766042843b1e424,8,8,0,6.0535315573215485,0.8324931655079126,0.0,True
50,5,j_guided,56886,1347422,149690,0.6158909592777491,2.631403157191576,57017,1337182,0b10c2c20e7b35654a774e30fcfcde8a03f72e9fb3c3ae180435994871c4910b,12,12,0,15.826557025313377,0.6875329501926899,0.6290771327912807,True
50,5,j_mixed,57017,1337182,149690,0.6158909592777491,2.625357349562411,57017,1337182,0b10c2c20e7b35654a774e30fcfcde8a03f72e9fb3c3ae180435994871c4910b,12,11,1,15.25922068208456,0.6843600049614906,0.6157330013811588,True
50,5,j_ordinary,57017,1337182,149690,0.6158909592777491,2.625357349562411,57017,1337182,0b10c2c20e7b35654a774e30fcfcde8a03f72e9fb3c3ae180435994871c4910b,12,12,0,11.921030014753342,0.6889436282217503,0.0,True
50,5,placement_corrected,57547,1330014,149690,0.6158909592777491,2.601178167410986,57547,1330014,ed2e9aacbdb868fd032c8e8689eb85933394125703c8300d2da723b44507b321,8,8,0,6.150516273453832,0.6887681540101767,0.0,True
50,5,placement_reference,57017,1337182,149690,0.6158909592777491,2.625357349562411,57017,1337182,0b10c2c20e7b35654a774e30fcfcde8a03f72e9fb3c3ae180435994871c4910b,8,8,0,5.931112602353096,0.6936911996454,0.0,True
18,2,j_guided,502491,2638848,1004367,0.29869302175939083,1.998776097482343,502491,2638848,53edebb45389afdf969fc27e02e27947a01598c965030a25d53de760da5d09ae,12,11,1,4.95526379160583,0.35636850632727146,0.3392397612333298,True
18,2,j_mixed,502491,2638848,1004367,0.29869302175939083,1.998776097482343,502491,2638848,53edebb45389afdf969fc27e02e27947a01598c965030a25d53de760da5d09ae,12,10,2,4.614427097141743,0.33608745597302914,0.3414460886269808,True
18,2,j_ordinary,502491,2638848,1004367,0.29869302175939083,1.998776097482343,502491,2638848,53edebb45389afdf969fc27e02e27947a01598c965030a25d53de760da5d09ae,12,11,1,4.5530910566449165,0.34818814881145954,0.0,True
18,2,placement_corrected,502491,2638848,1004367,0.29869302175939083,1.998776097482343,502491,2638848,53edebb45389afdf969fc27e02e27947a01598c965030a25d53de760da5d09ae,8,7,1,3.1287447083741426,0.3446148633956909,0.0,True
18,2,placement_reference,502491,2638848,1004367,0.29869302175939083,1.998776097482343,502491,2638848,53edebb45389afdf969fc27e02e27947a01598c965030a25d53de760da5d09ae,8,7,1,3.041813611984253,0.3439651560038328,0.0,True
18,3,j_guided,337417,3971072,1004367,0.29869302175939083,2.9766342537572203,337417,3971072,f1b81907950c4fa76d2e9b8da2c689d2cdbf7352bd7c9b5f81e4f91304ea0376,12,11,1,5.256201820448041,0.3495271485298872,0.3404381535947323,True
18,3,j_mixed,337417,3971072,1004367,0.29869302175939083,2.9766342537572203,337417,3971072,f1b81907950c4fa76d2e9b8da2c689d2cdbf7352bd7c9b5f81e4f91304ea0376,12,11,1,5.2622965052723885,0.35464140214025974,0.33403363078832626,True
18,3,j_ordinary,337417,3971072,1004367,0.29869302175939083,2.9766342537572203,337417,3971072,f1b81907950c4fa76d2e9b8da2c689d2cdbf7352bd7c9b5f81e4f91304ea0376,12,11,1,4.838726185262203,0.36472825333476067,0.0,True
18,3,placement_corrected,337417,3971072,1004367,0.29869302175939083,2.9766342537572203,337417,3971072,f1b81907950c4fa76d2e9b8da2c689d2cdbf7352bd7c9b5f81e4f91304ea0376,8,7,1,3.294861489906907,0.3595105428248644,0.0,True
18,3,placement_reference,337417,3971072,1004367,0.29869302175939083,2.9766342537572203,337417,3971072,f1b81907950c4fa76d2e9b8da2c689d2cdbf7352bd7c9b5f81e4f91304ea0376,8,7,1,3.262357810512185,0.3667112961411476,0.0,True
18,4,j_guided,253676,4938752,1004367,0.29869302175939083,3.9592511707847806,253676,4938752,16be042c1dd7225ee00fbcd2d8d6dd205bf6e08d92b163bed0304f032b233285,12,11,1,5.506715511903167,0.36425855569541454,0.33673989586532116,True
18,4,j_mixed,253676,4938752,1004367,0.29869302175939083,3.9592511707847806,253676,4938752,16be042c1dd7225ee00fbcd2d8d6dd205bf6e08d92b163bed0304f032b233285,12,11,1,5.443406881764531,0.3679248373955488,0.3362859711050987,True
18,4,j_ordinary,253676,4938752,1004367,0.29869302175939083,3.9592511707847806,253676,4938752,16be042c1dd7225ee00fbcd2d8d6dd205bf6e08d92b163bed0304f032b233285,12,11,1,4.9378856886178255,0.3658597208559513,0.0,True
18,4,placement_corrected,253676,4938752,1004367,0.29869302175939083,3.9592511707847806,253676,4938752,16be042c1dd7225ee00fbcd2d8d6dd205bf6e08d92b163bed0304f032b233285,8,7,1,3.4603017680346966,0.3675509840250015,0.0,True
18,4,placement_reference,253676,4938752,1004367,0.29869302175939083,3.9592511707847806,253676,4938752,16be042c1dd7225ee00fbcd2d8d6dd205bf6e08d92b163bed0304f032b233285,8,7,1,3.3907011318951845,0.35084339417517185,0.0,True
18,5,j_guided,205917,5320704,1004367,0.29869302175939083,4.8775331808447095,205917,5320704,1ff54a83738d207e64e2a8ee3e79fabe37b2081ce10d6d31347d699517127d38,12,11,1,5.730647852644324,0.37460014782845974,0.33908718079328537,True
18,5,j_mixed,205917,5320704,1004367,0.29869302175939083,4.8775331808447095,205917,5320704,1ff54a83738d207e64e2a8ee3e79fabe37b2081ce10d6d31347d699517127d38,12,10,2,5.353223733603954,0.36931210197508335,0.3345433622598648,True
18,5,j_ordinary,205917,5320704,1004367,0.29869302175939083,4.8775331808447095,205917,5320704,1ff54a83738d207e64e2a8ee3e79fabe37b2081ce10d6d31347d699517127d38,12,11,1,5.1971557307988405,0.3740470353513956,0.0,True
18,5,placement_corrected,205917,5320704,1004367,0.29869302175939083,4.8775331808447095,205917,5320704,1ff54a83738d207e64e2a8ee3e79fabe37b2081ce10d6d31347d699517127d38,8,7,1,3.5543282069265842,0.37880609557032585,0.0,True
18,5,placement_reference,205917,5320704,1004367,0.29869302175939083,4.8775331808447095,205917,5320704,1ff54a83738d207e64e2a8ee3e79fabe37b2081ce10d6d31347d699517127d38,8,7,1,3.446502286940813,0.3620859105139971,0.0,True
33,2,j_guided,889132,6452256,1774196,0.44258415326476097,1.995424751330511,889132,6452256,2f78de3e2d4440f7276a8edb137f5b63b091ba9f92dd5eb4cd846bf9b0c2d37d,12,11,1,7.853678442537785,0.5368254315108061,0.5645664036273956,True
33,2,j_mixed,889132,6452256,1774196,0.44258415326476097,1.995424751330511,889132,6452256,2f78de3e2d4440f7276a8edb137f5b63b091ba9f92dd5eb4cd846bf9b0c2d37d,12,10,2,7.257672756910324,0.5513822939246893,0.5674568116664886,True
33,2,j_ordinary,889132,6452256,1774196,0.44258415326476097,1.995424751330511,889132,6452256,2f78de3e2d4440f7276a8edb137f5b63b091ba9f92dd5eb4cd846bf9b0c2d37d,12,11,1,7.179135421290994,0.5349856726825237,0.0,True
33,2,placement_corrected,889132,6452256,1774196,0.44258415326476097,1.995424751330511,889132,6452256,2f78de3e2d4440f7276a8edb137f5b63b091ba9f92dd5eb4cd846bf9b0c2d37d,8,7,1,4.895699825137854,0.5515900067985058,0.0,True
33,2,placement_reference,889132,6452256,1774196,0.44258415326476097,1.995424751330511,889132,6452256,2f78de3e2d4440f7276a8edb137f5b63b091ba9f92dd5eb4cd846bf9b0c2d37d,8,7,1,4.814871795475483,0.5411465261131525,0.0,True
33,3,j_guided,596821,7053888,1774196,0.44258415326476097,2.9727439215443154,596821,7053888,63523814882fa390f8d9bd2f6c5a6386f6db68e209fc58ce02fd9dfc69131b98,12,11,1,7.537158137187362,0.5217059329152107,0.49366098269820213,True
33,3,j_mixed,596821,7053888,1774196,0.44258415326476097,2.9727439215443154,596821,7053888,63523814882fa390f8d9bd2f6c5a6386f6db68e209fc58ce02fd9dfc69131b98,12,11,1,7.57882434129715,0.5047265607863665,0.5260589383542538,True
33,3,j_ordinary,596821,7053888,1774196,0.44258415326476097,2.9727439215443154,596821,7053888,63523814882fa390f8d9bd2f6c5a6386f6db68e209fc58ce02fd9dfc69131b98,12,11,1,6.894684638828039,0.5129552241414785,0.0,True
33,3,placement_corrected,596821,7053888,1774196,0.44258415326476097,2.9727439215443154,596821,7053888,63523814882fa390f8d9bd2f6c5a6386f6db68e209fc58ce02fd9dfc69131b98,8,7,1,4.782515456900001,0.5235022995620966,0.0,True
33,3,placement_reference,596821,7053888,1774196,0.44258415326476097,2.9727439215443154,596821,7053888,63523814882fa390f8d9bd2f6c5a6386f6db68e209fc58ce02fd9dfc69131b98,8,7,1,4.581871286034584,0.5176351927220821,0.0,True
33,4,j_guided,443447,7214688,1774196,0.44258415326476097,4.000920064855552,443447,7214688,b6cad94c86539ff2cef90e735ac82ae92c373ebbe52fe8c7581d560292ccd679,12,11,1,7.508872497826815,0.5089591406285763,0.4741565454751253,True
33,4,j_mixed,443447,7214688,1774196,0.44258415326476097,4.000920064855552,443447,7214688,b6cad94c86539ff2cef90e735ac82ae92c373ebbe52fe8c7581d560292ccd679,12,10,2,6.941709529608488,0.5047319252043962,0.4947122912853956,True
33,4,j_ordinary,443447,7214688,1774196,0.44258415326476097,4.000920064855552,443447,7214688,b6cad94c86539ff2cef90e735ac82ae92c373ebbe52fe8c7581d560292ccd679,12,11,1,6.86034613661468,0.5103459618985653,0.0,True
33,4,placement_corrected,443447,7214688,1774196,0.44258415326476097,4.000920064855552,443447,7214688,b6cad94c86539ff2cef90e735ac82ae92c373ebbe52fe8c7581d560292ccd679,8,7,1,4.637781450524926,0.5069413632154465,0.0,True
33,4,placement_reference,443447,7214688,1774196,0.44258415326476097,4.000920064855552,443447,7214688,b6cad94c86539ff2cef90e735ac82ae92c373ebbe52fe8c7581d560292ccd679,8,7,1,4.5750481598079205,0.5045041758567095,0.0,True
33,5,j_guided,361176,7894656,1774196,0.44258415326476097,4.912275455733493,361176,7894656,8652c9cf74141dffff6f3de184f16b2ad42956d6535c3d49c515c972b59949c6,12,11,1,8.079115699976683,0.5338606741279364,0.48830808512866497,True
33,5,j_mixed,361176,7894656,1774196,0.44258415326476097,4.912275455733493,361176,7894656,8652c9cf74141dffff6f3de184f16b2ad42956d6535c3d49c515c972b59949c6,12,11,1,8.186157474294305,0.5296700857579708,0.48618808947503567,True
33,5,j_ordinary,361176,7894656,1774196,0.44258415326476097,4.912275455733493,361176,7894656,8652c9cf74141dffff6f3de184f16b2ad42956d6535c3d49c515c972b59949c6,12,11,1,7.293551664799452,0.5313816629350185,0.0,True
33,5,placement_corrected,361176,7894656,1774196,0.44258415326476097,4.912275455733493,361176,7894656,8652c9cf74141dffff6f3de184f16b2ad42956d6535c3d49c515c972b59949c6,8,7,1,4.9610172510147095,0.5324059575796127,0.0,True
33,5,placement_reference,361176,7894656,1774196,0.44258415326476097,4.912275455733493,361176,7894656,8652c9cf74141dffff6f3de184f16b2ad42956d6535c3d49c515c972b59949c6,8,7,1,4.832815343514085,0.5223655011504889,0.0,True
